location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
South Africa	Delta	0.9144345	1.0008997	0.83513284	0.9702142	0.86321366	0.9449689	0.8871562
South Africa	Omicron 21K	0.7206266	0.73340565	0.7081094	0.7286955	0.7121645	0.7248088	0.7163926
South Africa	Omicron 22A	1.1237173	1.2403091	1.0232579	1.1965065	1.0519992	1.161902	1.0834723
South Africa	Omicron 22B	1.4695375	1.6958431	1.2959583	1.6198186	1.3389149	1.54458	1.3985775
South Africa	Omicron 22C	0.6445683	1.0327911	0.42075008	0.87417424	0.48029724	0.7619602	0.54841554
South Africa	other	0.9315487	0.9639844	0.8978957	0.95245177	0.9097851	0.94239616	0.9202943
