date	location	variant	sequences	thres
2022-02-19	Germany	Omicron 21L	1	100.0
2022-02-21	Germany	Omicron 21L	1	100.0
2022-02-22	Germany	Omicron 21L	3	100.0
2022-02-23	Germany	Omicron 21L	1	100.0
2022-02-24	Germany	Omicron 21L	4	100.0
2022-02-25	Germany	Omicron 21L	2	100.0
2022-02-28	Germany	Omicron 21L	1	100.0
2022-03-02	Germany	Omicron 21L	1	100.0
2022-03-03	Germany	Omicron 21L	4	100.0
2022-03-04	Germany	Omicron 21L	4	100.0
2022-03-05	Germany	Omicron 21L	1	100.0
2022-03-06	Germany	Omicron 21L	1	100.0
2022-03-07	Germany	Omicron 21L	1	100.0
2022-03-08	Germany	Omicron 21L	2	100.0
2022-03-09	Germany	Omicron 21L	4	100.0
2022-03-10	Germany	Omicron 21L	6	100.0
2022-03-11	Germany	Omicron 21L	1	100.0
2022-03-12	Germany	Omicron 21L	2	100.0
2022-03-14	Germany	Omicron 21L	2	100.0
2022-03-15	Germany	Omicron 21L	2	100.0
2022-03-16	Germany	Omicron 21L	2	100.0
2022-03-17	Germany	Omicron 21L	3	100.0
2022-03-18	Germany	Omicron 21L	3	100.0
2022-03-19	Germany	Omicron 21L	1	100.0
2022-03-20	Germany	Omicron 21L	1	100.0
2022-03-21	Germany	Omicron 21L	7	100.0
2022-03-22	Germany	Omicron 21L	4	100.0
2022-03-23	Germany	Omicron 21L	2	100.0
2022-03-26	Germany	Omicron 21L	1	100.0
2022-03-27	Germany	Omicron 21L	1	100.0
2022-03-28	Germany	Omicron 21L	5	100.0
2022-03-29	Germany	Omicron 21L	3	100.0
2022-03-30	Germany	Omicron 21L	6	100.0
2022-03-31	Germany	Omicron 21L	4	100.0
2022-04-01	Germany	Omicron 21L	6	100.0
2022-04-02	Germany	Omicron 21L	4	100.0
2022-04-04	Germany	Omicron 21L	4	100.0
2022-04-05	Germany	Omicron 21L	7	100.0
2022-04-06	Germany	Omicron 21L	4	100.0
2022-04-07	Germany	Omicron 21L	3	100.0
2022-04-08	Germany	Omicron 21L	1	100.0
2022-04-09	Germany	Omicron 21L	4	100.0
2022-04-10	Germany	Omicron 21L	1	100.0
2022-04-11	Germany	Omicron 21L	9	100.0
2022-04-12	Germany	Omicron 21L	5	100.0
2022-04-13	Germany	Omicron 21L	5	100.0
2022-04-14	Germany	Omicron 21L	4	100.0
2022-04-15	Germany	Omicron 21L	2	100.0
2022-04-16	Germany	Omicron 21L	1	100.0
2022-04-18	Germany	Omicron 21L	3	100.0
2022-04-19	Germany	Omicron 21L	6	100.0
2022-04-20	Germany	Omicron 21L	3	100.0
2022-04-21	Germany	Omicron 21L	7	100.0
2022-04-22	Germany	Omicron 21L	5	100.0
2022-04-23	Germany	Omicron 21L	2	100.0
2022-04-24	Germany	Omicron 21L	3	100.0
2022-04-25	Germany	Omicron 21L	9	100.0
2022-04-26	Germany	Omicron 21L	7	100.0
2022-04-27	Germany	Omicron 21L	7	100.0
2022-04-28	Germany	Omicron 21L	5	100.0
2022-04-29	Germany	Omicron 21L	3	100.0
2022-04-30	Germany	Omicron 21L	7	100.0
2022-05-01	Germany	Omicron 21L	3	100.0
2022-05-02	Germany	Omicron 21L	9	100.0
2022-05-03	Germany	Omicron 21L	11	100.0
2022-05-04	Germany	Omicron 21L	4	100.0
2022-05-05	Germany	Omicron 21L	5	100.0
2022-05-06	Germany	Omicron 21L	5	100.0
2022-05-07	Germany	Omicron 21L	4	100.0
2022-05-09	Germany	Omicron 21L	7	100.0
2022-05-10	Germany	Omicron 21L	5	100.0
2022-05-11	Germany	Omicron 21L	8	100.0
2022-05-12	Germany	Omicron 21L	3	100.0
2022-05-13	Germany	Omicron 21L	3	100.0
2022-05-14	Germany	Omicron 21L	6	100.0
2022-05-15	Germany	Omicron 21L	2	100.0
2022-05-16	Germany	Omicron 21L	8	100.0
2022-05-17	Germany	Omicron 21L	6	100.0
2022-05-18	Germany	Omicron 21L	2	100.0
2022-05-08	Germany	Omicron 22B	1	100.0
2022-05-10	Germany	Omicron 22B	1	100.0
2022-05-12	Germany	Omicron 22B	1	100.0
2022-05-16	Germany	Omicron 22B	1	100.0
2022-05-17	Germany	Omicron 22B	2	100.0
2022-05-18	Germany	Omicron 22B	1	100.0
2022-05-18	Germany	Omicron 22C	1	100.0
2022-03-02	Germany	other	1	100.0
2022-04-26	Germany	other	1	100.0
2022-04-27	Germany	other	1	100.0
2022-02-18	United Kingdom	Omicron 21K	4	100.0
2022-02-20	United Kingdom	Omicron 21K	2	100.0
2022-02-21	United Kingdom	Omicron 21K	5	100.0
2022-02-22	United Kingdom	Omicron 21K	7	100.0
2022-02-23	United Kingdom	Omicron 21K	4	100.0
2022-02-24	United Kingdom	Omicron 21K	1	100.0
2022-02-25	United Kingdom	Omicron 21K	3	100.0
2022-02-26	United Kingdom	Omicron 21K	1	100.0
2022-02-27	United Kingdom	Omicron 21K	2	100.0
2022-02-28	United Kingdom	Omicron 21K	3	100.0
2022-03-01	United Kingdom	Omicron 21K	1	100.0
2022-03-02	United Kingdom	Omicron 21K	3	100.0
2022-03-03	United Kingdom	Omicron 21K	4	100.0
2022-03-04	United Kingdom	Omicron 21K	3	100.0
2022-03-05	United Kingdom	Omicron 21K	2	100.0
2022-03-06	United Kingdom	Omicron 21K	1	100.0
2022-03-07	United Kingdom	Omicron 21K	2	100.0
2022-03-08	United Kingdom	Omicron 21K	3	100.0
2022-03-09	United Kingdom	Omicron 21K	2	100.0
2022-03-10	United Kingdom	Omicron 21K	1	100.0
2022-03-11	United Kingdom	Omicron 21K	2	100.0
2022-03-13	United Kingdom	Omicron 21K	1	100.0
2022-03-14	United Kingdom	Omicron 21K	1	100.0
2022-03-19	United Kingdom	Omicron 21K	1	100.0
2022-03-22	United Kingdom	Omicron 21K	1	100.0
2022-03-24	United Kingdom	Omicron 21K	1	100.0
2022-03-25	United Kingdom	Omicron 21K	1	100.0
2022-03-26	United Kingdom	Omicron 21K	1	100.0
2022-03-28	United Kingdom	Omicron 21K	1	100.0
2022-03-30	United Kingdom	Omicron 21K	1	100.0
2022-04-04	United Kingdom	Omicron 21K	1	100.0
2022-04-06	United Kingdom	Omicron 21K	1	100.0
2022-04-10	United Kingdom	Omicron 21K	1	100.0
2022-04-11	United Kingdom	Omicron 21K	1	100.0
2022-05-05	United Kingdom	Omicron 21K	1	100.0
2022-02-18	United Kingdom	Omicron 21L	4	100.0
2022-02-19	United Kingdom	Omicron 21L	2	100.0
2022-02-20	United Kingdom	Omicron 21L	4	100.0
2022-02-21	United Kingdom	Omicron 21L	5	100.0
2022-02-22	United Kingdom	Omicron 21L	10	100.0
2022-02-23	United Kingdom	Omicron 21L	9	100.0
2022-02-24	United Kingdom	Omicron 21L	2	100.0
2022-02-25	United Kingdom	Omicron 21L	6	100.0
2022-02-26	United Kingdom	Omicron 21L	3	100.0
2022-02-27	United Kingdom	Omicron 21L	6	100.0
2022-02-28	United Kingdom	Omicron 21L	4	100.0
2022-03-01	United Kingdom	Omicron 21L	7	100.0
2022-03-02	United Kingdom	Omicron 21L	7	100.0
2022-03-03	United Kingdom	Omicron 21L	8	100.0
2022-03-04	United Kingdom	Omicron 21L	3	100.0
2022-03-05	United Kingdom	Omicron 21L	7	100.0
2022-03-06	United Kingdom	Omicron 21L	3	100.0
2022-03-07	United Kingdom	Omicron 21L	15	100.0
2022-03-08	United Kingdom	Omicron 21L	7	100.0
2022-03-09	United Kingdom	Omicron 21L	10	100.0
2022-03-10	United Kingdom	Omicron 21L	4	100.0
2022-03-11	United Kingdom	Omicron 21L	5	100.0
2022-03-12	United Kingdom	Omicron 21L	7	100.0
2022-03-13	United Kingdom	Omicron 21L	10	100.0
2022-03-14	United Kingdom	Omicron 21L	17	100.0
2022-03-15	United Kingdom	Omicron 21L	12	100.0
2022-03-16	United Kingdom	Omicron 21L	13	100.0
2022-03-17	United Kingdom	Omicron 21L	3	100.0
2022-03-18	United Kingdom	Omicron 21L	10	100.0
2022-03-19	United Kingdom	Omicron 21L	8	100.0
2022-03-20	United Kingdom	Omicron 21L	5	100.0
2022-03-21	United Kingdom	Omicron 21L	8	100.0
2022-03-22	United Kingdom	Omicron 21L	10	100.0
2022-03-23	United Kingdom	Omicron 21L	10	100.0
2022-03-24	United Kingdom	Omicron 21L	17	100.0
2022-03-25	United Kingdom	Omicron 21L	11	100.0
2022-03-26	United Kingdom	Omicron 21L	8	100.0
2022-03-27	United Kingdom	Omicron 21L	5	100.0
2022-03-28	United Kingdom	Omicron 21L	16	100.0
2022-03-29	United Kingdom	Omicron 21L	9	100.0
2022-03-30	United Kingdom	Omicron 21L	7	100.0
2022-03-31	United Kingdom	Omicron 21L	4	100.0
2022-04-01	United Kingdom	Omicron 21L	3	100.0
2022-04-02	United Kingdom	Omicron 21L	4	100.0
2022-04-03	United Kingdom	Omicron 21L	5	100.0
2022-04-04	United Kingdom	Omicron 21L	13	100.0
2022-04-05	United Kingdom	Omicron 21L	4	100.0
2022-04-06	United Kingdom	Omicron 21L	5	100.0
2022-04-07	United Kingdom	Omicron 21L	6	100.0
2022-04-08	United Kingdom	Omicron 21L	6	100.0
2022-04-09	United Kingdom	Omicron 21L	2	100.0
2022-04-10	United Kingdom	Omicron 21L	7	100.0
2022-04-11	United Kingdom	Omicron 21L	7	100.0
2022-04-12	United Kingdom	Omicron 21L	7	100.0
2022-04-13	United Kingdom	Omicron 21L	7	100.0
2022-04-14	United Kingdom	Omicron 21L	7	100.0
2022-04-15	United Kingdom	Omicron 21L	8	100.0
2022-04-16	United Kingdom	Omicron 21L	6	100.0
2022-04-17	United Kingdom	Omicron 21L	4	100.0
2022-04-18	United Kingdom	Omicron 21L	3	100.0
2022-04-19	United Kingdom	Omicron 21L	11	100.0
2022-04-20	United Kingdom	Omicron 21L	9	100.0
2022-04-21	United Kingdom	Omicron 21L	6	100.0
2022-04-22	United Kingdom	Omicron 21L	4	100.0
2022-04-23	United Kingdom	Omicron 21L	6	100.0
2022-04-24	United Kingdom	Omicron 21L	3	100.0
2022-04-25	United Kingdom	Omicron 21L	11	100.0
2022-04-26	United Kingdom	Omicron 21L	8	100.0
2022-04-27	United Kingdom	Omicron 21L	5	100.0
2022-04-28	United Kingdom	Omicron 21L	2	100.0
2022-04-29	United Kingdom	Omicron 21L	3	100.0
2022-04-30	United Kingdom	Omicron 21L	6	100.0
2022-05-01	United Kingdom	Omicron 21L	1	100.0
2022-05-02	United Kingdom	Omicron 21L	2	100.0
2022-05-03	United Kingdom	Omicron 21L	9	100.0
2022-05-04	United Kingdom	Omicron 21L	4	100.0
2022-05-05	United Kingdom	Omicron 21L	6	100.0
