location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
South Africa	Delta	1.0531244	1.351316	0.8249328	1.2620269	0.90397114	1.1556559	0.98664165
South Africa	Omicron 21K	1.1673338	1.2751322	1.0646389	1.230914	1.0950685	1.1986842	1.1253159
South Africa	Omicron 22A	1.3246905	1.3609095	1.2866944	1.3511919	1.3006235	1.337051	1.3122821
South Africa	Omicron 22B	1.367254	1.4083905	1.3281648	1.3952457	1.3411895	1.3821007	1.3540654
South Africa	Omicron 22C	1.5890346	1.8412795	1.3614781	1.7541842	1.4423816	1.6740806	1.5181067
South Africa	other	1.4827318	1.6916687	1.3079967	1.6156526	1.3675842	1.5473698	1.4247503
