location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
Japan,Omicron 21K,1.2809072,1.4915428,1.0872368,1.4147947,1.1655307,1.3540319,1.2181101
Japan,Omicron 22A,1.1689677,1.199353,1.1350915,1.1896807,1.1455832,1.1804334,1.1557887
Japan,Omicron 22B,1.3168943,1.3389323,1.2955129,1.3304884,1.3033195,1.323781,1.3095106
Japan,Omicron 22C,0.9698039,1.0140541,0.92054963,1.0026108,0.93838567,0.98723346,0.9539491
Japan,Omicron 22D,1.4367081,1.4861102,1.3843417,1.4701235,1.4029067,1.4539907,1.4193659
Japan,Omicron 22E,2.009899,2.2394288,1.8036257,2.1707923,1.8847277,2.0915978,1.942352
Japan,other,1.4392563,1.4893639,1.39152,1.4719247,1.4045632,1.4565231,1.4222631
