variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Omicron 21K,Australia,0.7606073022506376,2022-02-26,0.7606073022506376,
Omicron 21L,Australia,0.23149636399462162,2022-02-26,0.23149636399462162,
other,Australia,0.01381858407079646,2022-02-26,0.01381858407079646,
Omicron 21K,Australia,0.7571829877395571,2022-02-27,0.7571829877395571,
Omicron 21L,Australia,0.22966213336985636,2022-02-27,0.22966213336985636,
other,Australia,0.018416830446821218,2022-02-27,0.018416830446821218,
Omicron 21K,Australia,0.732074762631332,2022-02-28,0.732074762631332,
Omicron 21L,Australia,0.25303875674647974,2022-02-28,0.25303875674647974,
other,Australia,0.017367560725886366,2022-02-28,0.017367560725886366,
Omicron 21K,Australia,0.7196116349605415,2022-03-01,0.7196116349605415,
Omicron 21L,Australia,0.2618544680038962,2022-03-01,0.2618544680038962,
other,Australia,0.018533897035562175,2022-03-01,0.018533897035562175,
Omicron 21K,Australia,0.6892869293913088,2022-03-02,0.6892869293913088,
Omicron 21L,Australia,0.29281128482470936,2022-03-02,0.29281128482470936,
other,Australia,0.02088541674797888,2022-03-02,0.02088541674797888,
Omicron 21K,Australia,0.6671162125303264,2022-03-03,0.6671162125303264,
Omicron 21L,Australia,0.3162462241888523,2022-03-03,0.3162462241888523,
other,Australia,0.023292588593149876,2022-03-03,0.023292588593149876,
Omicron 21K,Australia,0.6311679468042828,2022-03-04,0.6311679468042828,
Omicron 21L,Australia,0.351557217722068,2022-03-04,0.351557217722068,
other,Australia,0.024184769663108723,2022-03-04,0.024184769663108723,
Omicron 21K,Australia,0.60725857660459,2022-03-05,0.60725857660459,
Omicron 21L,Australia,0.3797523022074751,2022-03-05,0.3797523022074751,
other,Australia,0.022730962078885905,2022-03-05,0.022730962078885905,
Omicron 21K,Australia,0.5561810903953825,2022-03-06,0.5561810903953825,
Omicron 21L,Australia,0.43608833355252846,2022-03-06,0.43608833355252846,
other,Australia,0.018038010788207794,2022-03-06,0.018038010788207794,
Omicron 21K,Australia,0.5327247920924584,2022-03-07,0.5327247920924584,
Omicron 21L,Australia,0.4612762335870543,2022-03-07,0.4612762335870543,
other,Australia,0.020996410121705632,2022-03-07,0.020996410121705632,
Delta,Australia,0.004901960784313725,2022-03-08,0.004901960784313725,
Omicron 21K,Australia,0.5004940274461743,2022-03-08,0.5004940274461743,
Omicron 21L,Australia,0.4915521737503536,2022-03-08,0.4915521737503536,
other,Australia,0.02538731541999516,2022-03-08,0.02538731541999516,
Delta,Australia,0.004901960784313725,2022-03-09,0.004901960784313725,
Omicron 21K,Australia,0.4708909914200902,2022-03-09,0.4708909914200902,
Omicron 21L,Australia,0.5204781617060247,2022-03-09,0.5204781617060247,
other,Australia,0.018504655777627107,2022-03-09,0.018504655777627107,
Delta,Australia,0.004901960784313725,2022-03-10,0.004901960784313725,
Omicron 21K,Australia,0.43623490676400556,2022-03-10,0.43623490676400556,
Omicron 21L,Australia,0.5393179198314971,2022-03-10,0.5393179198314971,
other,Australia,0.04155706326179176,2022-03-10,0.04155706326179176,
Delta,Australia,0.004901960784313725,2022-03-11,0.004901960784313725,
Omicron 21K,Australia,0.4225025002211415,2022-03-11,0.4225025002211415,
Omicron 21L,Australia,0.5554018842814746,2022-03-11,0.5554018842814746,
other,Australia,0.049922449232457596,2022-03-11,0.049922449232457596,
Delta,Australia,0.004901960784313725,2022-03-12,0.004901960784313725,
Omicron 21K,Australia,0.3816309764681612,2022-03-12,0.3816309764681612,
Omicron 21L,Australia,0.596273408034455,2022-03-12,0.596273408034455,
other,Australia,0.049922449232457596,2022-03-12,0.049922449232457596,
Delta,Australia,0.004901960784313725,2022-03-13,0.004901960784313725,
Omicron 21K,Australia,0.3671160796003231,2022-03-13,0.3671160796003231,
Omicron 21L,Australia,0.6107883049022931,2022-03-13,0.6107883049022931,
other,Australia,0.049922449232457596,2022-03-13,0.049922449232457596,
Delta,Australia,0.004901960784313725,2022-03-14,0.004901960784313725,
Omicron 21K,Australia,0.33689272422359356,2022-03-14,0.33689272422359356,
Omicron 21L,Australia,0.6410116602790227,2022-03-14,0.6410116602790227,
other,Australia,0.049922449232457596,2022-03-14,0.049922449232457596,
Omicron 21K,Australia,0.31497566471686406,2022-03-15,0.31497566471686406,
Omicron 21L,Australia,0.6685309606821107,2022-03-15,0.6685309606821107,
other,Australia,0.05772681110358835,2022-03-15,0.05772681110358835,
Omicron 21K,Australia,0.30900195399803715,2022-03-16,0.30900195399803715,
Omicron 21L,Australia,0.6751817194713505,2022-03-16,0.6751817194713505,
other,Australia,0.11071428571428571,2022-03-16,0.11071428571428571,
Omicron 21K,Australia,0.29311709259078766,2022-03-17,0.29311709259078766,
Omicron 21L,Australia,0.7068829074092123,2022-03-17,0.7068829074092123,
Omicron 21K,Australia,0.25973282979476014,2022-03-18,0.25973282979476014,
Omicron 21L,Australia,0.7402671702052398,2022-03-18,0.7402671702052398,
Omicron 21K,Australia,0.24298920349156972,2022-03-19,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-19,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-20,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-20,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-21,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-21,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-22,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-22,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-23,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-23,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-24,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-24,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-25,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-25,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-26,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-26,0.7570107965084303,
Omicron 21K,Australia,0.24298920349156972,2022-03-27,0.24298920349156972,
Omicron 21L,Australia,0.7570107965084303,2022-03-27,0.7570107965084303,
