variant	location	freq	date	median_freq_nowcast	median_freq_forecast
Omicron 21K	Australia	0.2769191411533993	2022-03-17	0.2769191411533993	
Omicron 21K	Australia	0.2498848065484139	2022-03-18	0.2498848065484139	
Omicron 21K	Australia	0.23971276043082573	2022-03-19	0.23971276043082573	
Omicron 21K	Australia	0.22309493570029756	2022-03-20	0.22309493570029756	
Omicron 21K	Australia	0.20590553304298118	2022-03-21	0.20590553304298118	
Omicron 21K	Australia	0.18381049179842174	2022-03-22	0.18381049179842174	
Omicron 21K	Australia	0.17098169486148446	2022-03-23	0.17098169486148446	
Omicron 21K	Australia	0.15462234410363745	2022-03-24	0.15462234410363745	
Omicron 21K	Australia	0.14324756281810144	2022-03-25	0.14324756281810144	
Omicron 21K	Australia	0.13590969944308637	2022-03-26	0.13590969944308637	
Omicron 21K	Australia	0.12825646437231006	2022-03-27	0.12825646437231006	
Omicron 21K	Australia	0.11964648674876364	2022-03-28	0.11964648674876364	
Omicron 21K	Australia	0.11089002715924011	2022-03-29	0.11089002715924011	
Omicron 21K	Australia	0.10184921411976841	2022-03-30	0.10184921411976841	
Omicron 21K	Australia	0.09662519468743407	2022-03-31	0.09662519468743407	
Omicron 21K	Australia	0.08516042844083094	2022-04-01	0.08516042844083094	
Omicron 21K	Australia	0.07767936168137583	2022-04-02	0.07767936168137583	
Omicron 21K	Australia	0.07134592665094112	2022-04-03	0.07134592665094112	
Omicron 21K	Australia	0.06972018732181733	2022-04-04	0.06972018732181733	
Omicron 21K	Australia	0.06793195833909609	2022-04-05	0.06793195833909609	
Omicron 21K	Australia	0.06534624452608999	2022-04-06	0.06534624452608999	
Omicron 21K	Australia	0.05703035402973605	2022-04-07	0.05703035402973605	
Omicron 21K	Australia	0.05674990806993331	2022-04-08	0.05674990806993331	
Omicron 21K	Australia	0.05125560924455798	2022-04-09	0.05125560924455798	
Omicron 21K	Australia	0.05342042280341556	2022-04-10	0.05342042280341556	
Omicron 21K	Australia	0.04989366622090692	2022-04-11	0.04989366622090692	
Omicron 21K	Australia	0.043827501246234725	2022-04-12	0.043827501246234725	
Omicron 21K	Australia	0.04467488081701855	2022-04-13	0.04467488081701855	
Omicron 21K	Australia	0.04651656036477724	2022-04-14	0.04651656036477724	
Omicron 21K	Australia	0.044010372200405455	2022-04-15	0.044010372200405455	
Omicron 21K	Australia	0.048770137741842155	2022-04-16	0.048770137741842155	
