	date	location	variant	sequences
0	2021-10-20	Denmark	other	1
1	2021-10-26	Denmark	other	1
2	2021-11-12	Denmark	other	1
3	2021-11-27	Denmark	other	1
4	2021-12-01	Denmark	other	1
5	2021-12-02	Denmark	other	2
6	2021-12-06	Denmark	other	1
7	2021-12-07	Denmark	other	1
8	2021-12-08	Denmark	other	1
9	2021-12-15	Denmark	other	1
10	2021-12-17	Denmark	other	2
11	2021-12-18	Denmark	other	1
12	2021-12-20	Denmark	other	1
13	2021-12-24	Denmark	other	1
14	2021-12-27	Denmark	other	1
15	2021-12-28	Denmark	other	1
16	2021-10-15	Denmark	Delta	583
17	2021-10-16	Denmark	Delta	393
18	2021-10-17	Denmark	Delta	677
19	2021-10-18	Denmark	Delta	781
20	2021-10-19	Denmark	Delta	887
21	2021-10-20	Denmark	Delta	1056
22	2021-10-21	Denmark	Delta	1257
23	2021-10-22	Denmark	Delta	1044
24	2021-10-23	Denmark	Delta	1089
25	2021-10-24	Denmark	Delta	1147
26	2021-10-25	Denmark	Delta	1263
27	2021-10-26	Denmark	Delta	1078
28	2021-10-27	Denmark	Delta	1494
29	2021-10-28	Denmark	Delta	1305
30	2021-10-29	Denmark	Delta	1157
31	2021-10-30	Denmark	Delta	838
32	2021-10-31	Denmark	Delta	1117
33	2021-11-01	Denmark	Delta	1232
34	2021-11-02	Denmark	Delta	1605
35	2021-11-03	Denmark	Delta	1760
36	2021-11-04	Denmark	Delta	1540
37	2021-11-05	Denmark	Delta	1641
38	2021-11-06	Denmark	Delta	1351
39	2021-11-07	Denmark	Delta	1885
40	2021-11-08	Denmark	Delta	1830
41	2021-11-09	Denmark	Delta	2314
42	2021-11-10	Denmark	Delta	2248
43	2021-11-11	Denmark	Delta	1661
44	2021-11-12	Denmark	Delta	1015
45	2021-11-13	Denmark	Delta	1083
46	2021-11-14	Denmark	Delta	1149
47	2021-11-15	Denmark	Delta	2043
48	2021-11-16	Denmark	Delta	1445
49	2021-11-17	Denmark	Delta	1439
50	2021-11-18	Denmark	Delta	1554
51	2021-11-19	Denmark	Delta	1834
52	2021-11-20	Denmark	Delta	1605
53	2021-11-21	Denmark	Delta	1550
54	2021-11-22	Denmark	Delta	2151
