location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Egypt	Delta	0.6007454	0.9738747	0.3516674	0.85969955	0.42072853	0.68895835	0.5079259
Egypt	Omicron 21K	0.9077374	1.1599771	0.7425598	1.0511788	0.80187833	0.9816666	0.8495123
Egypt	Omicron 22A	0.9486424	2.0986054	0.46491683	1.5762835	0.5879415	1.2203075	0.73200196
Egypt	Omicron 22B	0.8742821	1.6062483	0.44535452	1.3102232	0.588909	1.1050105	0.70460236
Egypt	Omicron 22C	0.85702574	1.7008872	0.42857707	1.3255092	0.54846877	1.0846497	0.67377275
Egypt	other	0.78182364	1.1603851	0.5600368	0.97665256	0.61151886	0.88075805	0.6851188
