date	location	variant	sequences	thres
2022-05-23	Denmark	Omicron 21L	3	100.0
2022-05-24	Denmark	Omicron 21L	4	100.0
2022-05-25	Denmark	Omicron 21L	2	100.0
2022-05-26	Denmark	Omicron 21L	1	100.0
2022-05-27	Denmark	Omicron 21L	2	100.0
2022-05-28	Denmark	Omicron 21L	2	100.0
2022-05-30	Denmark	Omicron 21L	4	100.0
2022-05-31	Denmark	Omicron 21L	3	100.0
2022-06-01	Denmark	Omicron 21L	3	100.0
2022-06-02	Denmark	Omicron 21L	1	100.0
2022-06-03	Denmark	Omicron 21L	2	100.0
2022-06-05	Denmark	Omicron 21L	1	100.0
2022-06-07	Denmark	Omicron 21L	1	100.0
2022-06-09	Denmark	Omicron 21L	1	100.0
2022-06-15	Denmark	Omicron 21L	1	100.0
2022-06-16	Denmark	Omicron 21L	1	100.0
2022-06-19	Denmark	Omicron 21L	1	100.0
2022-06-23	Denmark	Omicron 21L	1	100.0
2022-06-10	Denmark	Omicron 22A	1	100.0
2022-06-12	Denmark	Omicron 22A	2	100.0
2022-06-21	Denmark	Omicron 22A	1	100.0
2022-06-25	Denmark	Omicron 22A	2	100.0
2022-07-08	Denmark	Omicron 22A	1	100.0
2022-07-10	Denmark	Omicron 22A	1	100.0
2022-07-18	Denmark	Omicron 22A	1	100.0
2022-07-22	Denmark	Omicron 22A	1	100.0
2022-08-02	Denmark	Omicron 22A	3	100.0
2022-08-09	Denmark	Omicron 22A	1	100.0
2022-08-12	Denmark	Omicron 22A	2	100.0
2022-08-13	Denmark	Omicron 22A	1	100.0
2022-05-22	Denmark	Omicron 22B	1	100.0
2022-05-29	Denmark	Omicron 22B	2	100.0
2022-06-01	Denmark	Omicron 22B	1	100.0
2022-06-03	Denmark	Omicron 22B	2	100.0
2022-06-04	Denmark	Omicron 22B	1	100.0
2022-06-05	Denmark	Omicron 22B	1	100.0
2022-06-06	Denmark	Omicron 22B	2	100.0
2022-06-11	Denmark	Omicron 22B	3	100.0
2022-06-14	Denmark	Omicron 22B	3	100.0
2022-06-15	Denmark	Omicron 22B	3	100.0
2022-06-17	Denmark	Omicron 22B	1	100.0
2022-06-18	Denmark	Omicron 22B	1	100.0
2022-06-19	Denmark	Omicron 22B	5	100.0
2022-06-21	Denmark	Omicron 22B	2	100.0
2022-06-22	Denmark	Omicron 22B	3	100.0
2022-06-26	Denmark	Omicron 22B	2	100.0
2022-06-28	Denmark	Omicron 22B	2	100.0
2022-06-29	Denmark	Omicron 22B	3	100.0
2022-07-01	Denmark	Omicron 22B	3	100.0
2022-07-03	Denmark	Omicron 22B	1	100.0
2022-07-04	Denmark	Omicron 22B	1	100.0
2022-07-05	Denmark	Omicron 22B	4	100.0
2022-07-06	Denmark	Omicron 22B	1	100.0
2022-07-07	Denmark	Omicron 22B	1	100.0
2022-07-08	Denmark	Omicron 22B	2	100.0
2022-07-09	Denmark	Omicron 22B	3	100.0
2022-07-10	Denmark	Omicron 22B	3	100.0
2022-07-11	Denmark	Omicron 22B	4	100.0
2022-07-12	Denmark	Omicron 22B	1	100.0
2022-07-13	Denmark	Omicron 22B	5	100.0
2022-07-14	Denmark	Omicron 22B	5	100.0
2022-07-15	Denmark	Omicron 22B	3	100.0
2022-07-16	Denmark	Omicron 22B	3	100.0
2022-07-17	Denmark	Omicron 22B	2	100.0
2022-07-18	Denmark	Omicron 22B	6	100.0
2022-07-19	Denmark	Omicron 22B	2	100.0
2022-07-20	Denmark	Omicron 22B	3	100.0
2022-07-21	Denmark	Omicron 22B	1	100.0
2022-07-22	Denmark	Omicron 22B	2	100.0
2022-07-23	Denmark	Omicron 22B	1	100.0
2022-07-24	Denmark	Omicron 22B	4	100.0
2022-07-25	Denmark	Omicron 22B	2	100.0
2022-07-26	Denmark	Omicron 22B	1	100.0
2022-07-27	Denmark	Omicron 22B	5	100.0
2022-07-28	Denmark	Omicron 22B	3	100.0
2022-07-29	Denmark	Omicron 22B	3	100.0
2022-07-30	Denmark	Omicron 22B	2	100.0
2022-07-31	Denmark	Omicron 22B	1	100.0
2022-08-01	Denmark	Omicron 22B	4	100.0
2022-08-02	Denmark	Omicron 22B	6	100.0
2022-08-03	Denmark	Omicron 22B	4	100.0
2022-08-04	Denmark	Omicron 22B	2	100.0
2022-08-05	Denmark	Omicron 22B	3	100.0
2022-08-07	Denmark	Omicron 22B	4	100.0
2022-08-08	Denmark	Omicron 22B	4	100.0
2022-08-09	Denmark	Omicron 22B	1	100.0
2022-08-10	Denmark	Omicron 22B	3	100.0
2022-08-11	Denmark	Omicron 22B	1	100.0
2022-08-12	Denmark	Omicron 22B	5	100.0
2022-08-13	Denmark	Omicron 22B	5	100.0
2022-08-14	Denmark	Omicron 22B	6	100.0
2022-08-15	Denmark	Omicron 22B	5	100.0
2022-08-16	Denmark	Omicron 22B	3	100.0
2022-08-17	Denmark	Omicron 22B	1	100.0
2022-08-18	Denmark	Omicron 22B	3	100.0
2022-05-24	Denmark	Omicron 22C	1	100.0
2022-05-25	Denmark	Omicron 22C	1	100.0
2022-05-29	Denmark	Omicron 22C	2	100.0
2022-05-30	Denmark	Omicron 22C	1	100.0
2022-06-13	Denmark	Omicron 22C	1	100.0
2022-06-14	Denmark	Omicron 22C	1	100.0
2022-06-17	Denmark	Omicron 22C	1	100.0
2022-06-26	Denmark	Omicron 22C	1	100.0
2022-07-08	Denmark	Omicron 22C	1	100.0
2022-05-25	Germany	Omicron 21K	1	100.0
2022-05-21	Germany	Omicron 21L	6	100.0
2022-05-22	Germany	Omicron 21L	3	100.0
2022-05-23	Germany	Omicron 21L	14	100.0
2022-05-24	Germany	Omicron 21L	10	100.0
2022-05-25	Germany	Omicron 21L	5	100.0
2022-05-26	Germany	Omicron 21L	3	100.0
2022-05-27	Germany	Omicron 21L	11	100.0
2022-05-28	Germany	Omicron 21L	6	100.0
2022-05-29	Germany	Omicron 21L	3	100.0
2022-05-30	Germany	Omicron 21L	10	100.0
2022-05-31	Germany	Omicron 21L	6	100.0
2022-06-01	Germany	Omicron 21L	3	100.0
2022-06-02	Germany	Omicron 21L	5	100.0
2022-06-03	Germany	Omicron 21L	5	100.0
2022-06-04	Germany	Omicron 21L	2	100.0
2022-06-05	Germany	Omicron 21L	4	100.0
2022-06-06	Germany	Omicron 21L	1	100.0
2022-06-07	Germany	Omicron 21L	3	100.0
2022-06-08	Germany	Omicron 21L	2	100.0
2022-06-09	Germany	Omicron 21L	1	100.0
2022-06-10	Germany	Omicron 21L	1	100.0
2022-06-11	Germany	Omicron 21L	3	100.0
2022-06-12	Germany	Omicron 21L	1	100.0
2022-06-13	Germany	Omicron 21L	5	100.0
2022-06-14	Germany	Omicron 21L	1	100.0
2022-06-15	Germany	Omicron 21L	2	100.0
2022-06-17	Germany	Omicron 21L	2	100.0
2022-06-18	Germany	Omicron 21L	2	100.0
2022-06-21	Germany	Omicron 21L	1	100.0
2022-06-22	Germany	Omicron 21L	1	100.0
