location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Vietnam	Delta	0.59703964	0.6786853	0.52188957	0.65156347	0.5513306	0.62957215	0.5724246
Vietnam	Omicron 21K	0.7083174	0.78338253	0.6531807	0.7528131	0.66876316	0.7298182	0.68942493
