location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
United Kingdom,Delta,0.7771624,0.7771624,0.7771624,0.7771624,0.7771624,0.7771624,0.7771624
United Kingdom,Omicron 21K,0.69803345,0.69803345,0.69803345,0.69803345,0.69803345,0.69803345,0.69803345
United Kingdom,Omicron 22A,1.7400749,1.7400749,1.7400749,1.7400749,1.7400749,1.7400749,1.7400749
United Kingdom,Omicron 22B,1.7399836,1.7399836,1.7399836,1.7399836,1.7399836,1.7399836,1.7399836
United Kingdom,Omicron 22C,1.6559391,1.6559391,1.6559391,1.6559391,1.6559391,1.6559391,1.6559391
United Kingdom,other,1.0113933,1.0113933,1.0113933,1.0113933,1.0113933,1.0113933,1.0113933
