location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
USA	Delta	1.129488	1.2296495	1.0380985	1.1924385	1.066427	1.1661983	1.0928556
USA	Omicron 21K	0.7803757	0.79578483	0.7664243	0.78861415	0.7707317	0.78498495	0.7753264
USA	Omicron 22A	1.5530617	1.5581894	1.5474892	1.5565494	1.5496782	1.5547321	1.5511445
USA	Omicron 22B	1.754457	1.7592306	1.7492392	1.7574397	1.7512337	1.7561421	1.7525635
USA	Omicron 22C	1.1786275	1.1804221	1.1767297	1.1798233	1.1772321	1.1792241	1.1778226
USA	Omicron 22D	1.9194478	2.0930858	1.7459347	2.0301867	1.8023523	1.9808706	1.856365
USA	other	1.1092191	1.1213484	1.0970305	1.1177114	1.1013361	1.11398	1.1052445
