location,model,pivot_date,lead,variant,MAE,MSE
USA,GARW,2022-03-03,-3,Delta,0.0006557454,4.3000202962116003e-07
USA,GARW,2022-03-03,-2,Delta,0.00066921947,4.4785469902708094e-07
USA,GARW,2022-03-03,-1,Delta,0.0006756359900000001,4.5648399098328025e-07
USA,GARW,2022-03-03,0,Delta,0.00067301576,4.529502132083776e-07
USA,GARW,2022-03-03,1,Delta,0.00069866635,4.881346686223225e-07
USA,GARW,2022-03-03,2,Delta,0.000761723806,5.802231566271256e-07
USA,GARW,2022-03-03,3,Delta,0.00083843313,7.029701134815969e-07
USA,GARW,2022-03-03,4,Delta,0.00086532395,7.487855384436025e-07
USA,GARW,2022-03-03,5,Delta,0.00084777266,7.187184830434756e-07
USA,GARW,2022-03-03,6,Delta,0.0008435078199999999,7.115054424011523e-07
USA,GARW,2022-03-03,7,Delta,0.0008753790499999999,7.662884811789024e-07
USA,GARW,2022-03-03,8,Delta,0.000912581593,8.328051638824176e-07
USA,GARW,2022-03-03,9,Delta,0.00092626588,8.579684804521743e-07
USA,GARW,2022-03-03,10,Delta,0.00091755881,8.419141698086161e-07
USA,GARW,2022-03-03,11,Delta,0.00090803628,8.245298857962385e-07
USA,GARW,2022-03-03,12,Delta,0.0009087331529999999,8.257959433613213e-07
USA,GARW,2022-03-03,13,Delta,0.000913547673,8.34569350843715e-07
USA,GARW,2022-03-03,-3,Omicron 21K,0.009238960000000018,8.535838188160034e-05
USA,GARW,2022-03-03,-2,Omicron 21K,0.003246450000000012,1.0539437602500077e-05
USA,GARW,2022-03-03,-1,Omicron 21K,0.0020097500000000323,4.03909506250013e-06
USA,GARW,2022-03-03,0,Omicron 21K,0.008768500000000068,7.688659225000119e-05
USA,GARW,2022-03-03,1,Omicron 21K,0.005433159999999937,2.9519227585599315e-05
USA,GARW,2022-03-03,2,Omicron 21K,0.000683160000000016,4.6670758560002184e-07
USA,GARW,2022-03-03,3,Omicron 21K,0.001034320000000033,1.0698178624000682e-06
USA,GARW,2022-03-03,4,Omicron 21K,0.0012964100000000256,1.6806788881000663e-06
USA,GARW,2022-03-03,5,Omicron 21K,0.0003338000000000507,1.1142244000003387e-07
USA,GARW,2022-03-03,6,Omicron 21K,0.002678500000000028,7.17436225000015e-06
USA,GARW,2022-03-03,7,Omicron 21K,0.0053370999999999835,2.8484636409999824e-05
USA,GARW,2022-03-03,8,Omicron 21K,0.006284369999999928,3.9493306296899095e-05
USA,GARW,2022-03-03,9,Omicron 21K,0.007756589999999952,6.016468842809926e-05
USA,GARW,2022-03-03,10,Omicron 21K,0.012659899999999946,0.00016027306800999865
USA,GARW,2022-03-03,11,Omicron 21K,0.014800959999999974,0.00021906841692159924
USA,GARW,2022-03-03,12,Omicron 21K,0.017281329999999984,0.00029864436656889946
USA,GARW,2022-03-03,13,Omicron 21K,0.02004724000000002,0.0004018918316176009
USA,GARW,2022-03-03,-3,Omicron 21L,0.006202430000000009,3.847013790490011e-05
USA,GARW,2022-03-03,-2,Omicron 21L,0.006829790000000002,4.664603144410003e-05
USA,GARW,2022-03-03,-1,Omicron 21L,0.005968059999999997,3.561774016359997e-05
USA,GARW,2022-03-03,0,Omicron 21L,0.003966979999999981,1.573693032039985e-05
USA,GARW,2022-03-03,1,Omicron 21L,0.00019168999999999436,3.674505609999784e-08
USA,GARW,2022-03-03,2,Omicron 21L,0.005227609999999994,2.7327906312099934e-05
USA,GARW,2022-03-03,3,Omicron 21L,0.0072579399999999905,5.267769304359986e-05
USA,GARW,2022-03-03,4,Omicron 21L,0.006771780000000005,4.585700436840007e-05
USA,GARW,2022-03-03,5,Omicron 21L,0.009456350000000002,8.942255532250005e-05
USA,GARW,2022-03-03,6,Omicron 21L,0.012788410000000028,0.0001635434303281007
USA,GARW,2022-03-03,7,Omicron 21L,0.016817899999999997,0.00028284176040999987
USA,GARW,2022-03-03,8,Omicron 21L,0.019594129999999987,0.0003839299304568995
USA,GARW,2022-03-03,9,Omicron 21L,0.02179517000000003,0.0004750294353289013
USA,GARW,2022-03-03,10,Omicron 21L,0.02472538000000002,0.0006113444161444009
USA,GARW,2022-03-03,11,Omicron 21L,0.03093267999999999,0.0009568306919823994
USA,GARW,2022-03-03,12,Omicron 21L,0.03486835999999999,0.0012158025290895992
USA,GARW,2022-03-03,13,Omicron 21L,0.04018305000000005,0.0016146775073025044
USA,GARW,2022-03-03,-3,other,0.00073657386,5.425410512352995e-07
USA,GARW,2022-03-03,-2,other,0.0007434947599999999,5.527844581474575e-07
USA,GARW,2022-03-03,-1,other,0.0008212082699999999,6.743830227163928e-07
USA,GARW,2022-03-03,0,other,0.0009498080299999999,9.021352938524807e-07
USA,GARW,2022-03-03,1,other,0.00105088084,1.1043505398791056e-06
USA,GARW,2022-03-03,2,other,0.0011709981,1.37123655020361e-06
USA,GARW,2022-03-03,3,other,0.0013269563199999998,1.7608130751879418e-06
USA,GARW,2022-03-03,4,other,0.0014576800200000002,2.124831040707201e-06
USA,GARW,2022-03-03,5,other,0.00155006126,2.4026899097527874e-06
USA,GARW,2022-03-03,6,other,0.00166390973,2.7685955895886727e-06
USA,GARW,2022-03-03,7,other,0.0018222807900000002,3.320707277603025e-06
USA,GARW,2022-03-03,8,other,0.00198724216,3.949131402481466e-06
USA,GARW,2022-03-03,9,other,0.00212348686,4.50919644459266e-06
USA,GARW,2022-03-03,10,other,0.00224321505,5.0320137605465025e-06
USA,GARW,2022-03-03,11,other,0.00237266392,5.629534077269766e-06
USA,GARW,2022-03-03,12,other,0.00251533265,6.326898340156022e-06
USA,GARW,2022-03-03,13,other,0.00266290225,7.0910483930550614e-06
USA,GARW,2022-03-21,-14,Delta,0.0003018602499999999,9.111961053006244e-08
USA,GARW,2022-03-21,-13,Delta,0.0003984342600000001,1.5874985954174767e-07
USA,GARW,2022-03-21,-12,Delta,0.0004829096,2.3320168177216e-07
USA,GARW,2022-03-21,-11,Delta,0.00052994865,2.8084557163682256e-07
USA,GARW,2022-03-21,-10,Delta,0.00054868023,3.010499947928529e-07
USA,GARW,2022-03-21,-9,Delta,0.0006205922,3.8513467870083997e-07
USA,GARW,2022-03-21,-8,Delta,0.000696819,4.85556718761e-07
USA,GARW,2022-03-21,-7,Delta,0.0007642331399999999,5.840522922742594e-07
USA,GARW,2022-03-21,-6,Delta,0.0008209061600000001,6.738869235259456e-07
