location,date,variant,mv_avg_freq
United Kingdom,2022-06-30,Omicron 22B,0.6447821533736391
United Kingdom,2022-06-30,Omicron 22B,0.6517995260603511
United Kingdom,2022-06-30,Omicron 22B,0.6679174875212729
United Kingdom,2022-06-30,Omicron 22B,0.676627059582901
United Kingdom,2022-06-30,Omicron 22C,0.597200462671058
United Kingdom,2022-06-30,Omicron 22C,0.5131431406827016
United Kingdom,2022-06-30,Omicron 22C,0.43085874713499
United Kingdom,2022-06-30,Omicron 22C,0.3523356712379645
United Kingdom,2022-06-30,Omicron 22C,0.26735560448222534
United Kingdom,2022-06-30,Omicron 22C,0.17240647419013475
United Kingdom,2022-06-30,Omicron 22C,0.07795398772827743
United Kingdom,2022-06-30,Omicron 22C,0.06934218625689444
United Kingdom,2022-06-30,Omicron 22C,0.06571477918121149
United Kingdom,2022-06-30,Omicron 22C,0.06980987231740052
United Kingdom,2022-06-30,Omicron 22C,0.06880113548933596
United Kingdom,2022-06-30,Omicron 22C,0.06166944392737347
United Kingdom,2022-06-30,Omicron 22C,0.05821733646804579
United Kingdom,2022-06-30,Omicron 22C,0.057319945889885225
United Kingdom,2022-06-30,other,0.052393658858540394
United Kingdom,2022-06-30,other,0.043304615717773116
United Kingdom,2022-06-30,other,0.03007710249025989
United Kingdom,2022-06-30,other,0.020740034329662316
United Kingdom,2022-06-30,other,0.015808730247706567
United Kingdom,2022-06-30,other,0.009650448096644634
United Kingdom,2022-06-30,other,0.003533810618692977
United Kingdom,2022-06-30,other,0.002776126448825224
United Kingdom,2022-06-30,other,0.002998174515700877
United Kingdom,2022-06-30,other,0.0032921192540900602
United Kingdom,2022-06-30,other,0.002725225830053779
United Kingdom,2022-06-30,other,0.002424029171561311
United Kingdom,2022-06-30,other,0.0018778244737320644
United Kingdom,2022-06-30,other,0.0029642808651646054
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Delta,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21K,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 21L,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
United Kingdom,2022-06-30,Omicron 22A,
