location,model,pivot_date,variant,date,median_ga,ga_upper_80,ga_lower_80
USA,GARW,2022-04-15,Delta,2022-01-02,0.66098374,0.6929954,0.62674934
USA,GARW,2022-04-15,Delta,2022-01-03,0.6576652,0.6882649,0.62639505
USA,GARW,2022-04-15,Delta,2022-01-04,0.65454423,0.6844836,0.62577426
USA,GARW,2022-04-15,Delta,2022-01-05,0.65172124,0.6805168,0.62444913
USA,GARW,2022-04-15,Delta,2022-01-06,0.6495683,0.6778207,0.6237089
USA,GARW,2022-04-15,Delta,2022-01-07,0.6484815,0.67542446,0.62340474
USA,GARW,2022-04-15,Delta,2022-01-08,0.64709646,0.67357767,0.6228432
USA,GARW,2022-04-15,Delta,2022-01-09,0.6460833,0.6718034,0.62251264
USA,GARW,2022-04-15,Delta,2022-01-10,0.64474005,0.6703137,0.62246263
USA,GARW,2022-04-15,Delta,2022-01-11,0.6441468,0.6691601,0.6224757
USA,GARW,2022-04-15,Delta,2022-01-12,0.64376295,0.6678588,0.6226598
USA,GARW,2022-04-15,Delta,2022-01-13,0.6436222,0.6667422,0.62287235
USA,GARW,2022-04-15,Delta,2022-01-14,0.6438359,0.6661055,0.6230651
USA,GARW,2022-04-15,Delta,2022-01-15,0.6440635,0.6659508,0.6236377
USA,GARW,2022-04-15,Delta,2022-01-16,0.6443118,0.6659711,0.6240673
USA,GARW,2022-04-15,Delta,2022-01-17,0.64474285,0.66631186,0.6245114
USA,GARW,2022-04-15,Delta,2022-01-18,0.64484394,0.6664765,0.62507904
USA,GARW,2022-04-15,Delta,2022-01-19,0.645471,0.665905,0.62606585
USA,GARW,2022-04-15,Delta,2022-01-20,0.64626443,0.66596365,0.626741
USA,GARW,2022-04-15,Delta,2022-01-21,0.64691496,0.6659215,0.62795264
USA,GARW,2022-04-15,Delta,2022-01-22,0.64765096,0.666987,0.62889045
USA,GARW,2022-04-15,Delta,2022-01-23,0.6482455,0.6677669,0.62938315
USA,GARW,2022-04-15,Delta,2022-01-24,0.64903915,0.66836894,0.62985235
USA,GARW,2022-04-15,Delta,2022-01-25,0.6498533,0.6689986,0.6312842
USA,GARW,2022-04-15,Delta,2022-01-26,0.65067846,0.66934717,0.6322627
USA,GARW,2022-04-15,Delta,2022-01-27,0.65147763,0.6702365,0.63313633
USA,GARW,2022-04-15,Delta,2022-01-28,0.6526576,0.67075676,0.63445455
USA,GARW,2022-04-15,Delta,2022-01-29,0.653479,0.6717043,0.63584036
USA,GARW,2022-04-15,Delta,2022-01-30,0.6547675,0.67273045,0.63720584
USA,GARW,2022-04-15,Delta,2022-01-31,0.6555238,0.67476976,0.63814324
USA,GARW,2022-04-15,Delta,2022-02-01,0.65703434,0.6762716,0.6392493
USA,GARW,2022-04-15,Delta,2022-02-02,0.6584883,0.67778724,0.6403892
USA,GARW,2022-04-15,Delta,2022-02-03,0.6597501,0.67983687,0.64171463
USA,GARW,2022-04-15,Delta,2022-02-04,0.66150594,0.6823719,0.64327073
USA,GARW,2022-04-15,Delta,2022-02-05,0.6635018,0.68500555,0.64512765
USA,GARW,2022-04-15,Delta,2022-02-06,0.66547424,0.6878065,0.64700145
USA,GARW,2022-04-15,Delta,2022-02-07,0.6680169,0.69074905,0.64857996
USA,GARW,2022-04-15,Delta,2022-02-08,0.6708579,0.6938928,0.65075886
USA,GARW,2022-04-15,Delta,2022-02-09,0.6733963,0.6967576,0.65265507
USA,GARW,2022-04-15,Delta,2022-02-10,0.67633796,0.70031166,0.65416425
USA,GARW,2022-04-15,Delta,2022-02-11,0.6791659,0.70407194,0.6559591
USA,GARW,2022-04-15,Delta,2022-02-12,0.68215126,0.7073619,0.6579511
USA,GARW,2022-04-15,Delta,2022-02-13,0.68522155,0.7111151,0.6589657
USA,GARW,2022-04-15,Delta,2022-02-14,0.6880254,0.7153793,0.6604641
USA,GARW,2022-04-15,Delta,2022-02-15,0.69069934,0.71990865,0.6613924
USA,GARW,2022-04-15,Delta,2022-02-16,0.69332755,0.7235793,0.6625292
USA,GARW,2022-04-15,Delta,2022-02-17,0.6958418,0.72693175,0.6644967
USA,GARW,2022-04-15,Delta,2022-02-18,0.6981137,0.73013526,0.66511583
USA,GARW,2022-04-15,Delta,2022-02-19,0.70001996,0.73370874,0.6667651
USA,GARW,2022-04-15,Delta,2022-02-20,0.70156294,0.73657286,0.66806734
USA,GARW,2022-04-15,Delta,2022-02-21,0.7032898,0.7392152,0.669558
USA,GARW,2022-04-15,Delta,2022-02-22,0.7052339,0.7407766,0.6710488
USA,GARW,2022-04-15,Delta,2022-02-23,0.70692754,0.7426007,0.6716027
USA,GARW,2022-04-15,Delta,2022-02-24,0.7088541,0.7444376,0.6722257
USA,GARW,2022-04-15,Delta,2022-02-25,0.70992136,0.7455576,0.67291707
USA,GARW,2022-04-15,Delta,2022-02-26,0.7111913,0.74677783,0.67322415
USA,GARW,2022-04-15,Delta,2022-02-27,0.7119261,0.74777204,0.6735263
