locations,model,date,Mean Abs Error,Mean Sq Error
USA,GARW,2022-03-21,0.04847492261619048,0.006548532242106967
USA,GARW,2022-06-22,0.03945046701894643,0.005084349257664599
Japan,GARW,2022-03-21,0.2096467096790476,0.06619845766641771
Japan,GARW,2022-06-22,0.049966852958064495,0.007124696369243796
USA,FGA,2022-03-21,0.041831894345175,0.004491299087054763
USA,FGA,2022-06-22,0.005393322032576256,9.856050166100762e-05
Japan,FGA,2022-03-21,0.11707307250553968,0.020394369249158138
Japan,FGA,2022-06-22,0.05438534421681809,0.011041769780487685
