location,model,pivot_date,lead,variant,MAE,RMSE,loglik,total_seq,raw_freq,smoothed_freq,pred_freq,date
USA,GARW,2022-04-15,-13,Delta,3.026541874777957e-05,3.026541874777957e-05,-0.13062272694834823,1746.0,0.0,0.00010507517874777956,7.480976e-05,2022-04-02
USA,GARW,2022-04-15,-12,Delta,0.00013602783323063574,0.00013602783323063574,-0.11747580878212323,1764.0,0.0,0.00020262187923063575,6.6594046e-05,2022-04-03
USA,GARW,2022-04-15,-11,Delta,0.00014315557923063574,0.00014315557923063574,-0.21099270593995323,3548.0,0.0,0.00020262187923063575,5.94663e-05,2022-04-04
USA,GARW,2022-04-15,-10,Delta,9.096631561015701e-05,9.096631561015701e-05,-1.9760463410747962,3088.0,0.0003238341968911917,0.000143808728610157,5.2842413e-05,2022-04-05
USA,GARW,2022-04-15,-9,Delta,9.6942743610157e-05,9.6942743610157e-05,-4.802272735649726,2929.0,0.0006828269033799932,0.000143808728610157,4.6865985e-05,2022-04-06
USA,GARW,2022-04-15,-8,Delta,0.00010230744461015701,0.00010230744461015701,-0.1344669504548501,3240.0,0.0,0.000143808728610157,4.1501284e-05,2022-04-07
USA,GARW,2022-04-15,-7,Delta,0.00014349078571592345,0.00014349078571592345,-0.12178780525983178,3333.0,0.0,0.00018003011371592345,3.6539328e-05,2022-04-08
USA,GARW,2022-04-15,-6,Delta,0.00015149412008726073,0.00015149412008726073,-0.06416412626987662,1989.0,0.0,0.00018375309008726074,3.225897e-05,2022-04-09
USA,GARW,2022-04-15,-5,Delta,5.7772478604404564e-05,5.7772478604404564e-05,-0.05920024435322817,2082.0,0.0,8.620638960440456e-05,2.8433911e-05,2022-04-10
USA,GARW,2022-04-15,-4,Delta,0.0001646151704075493,0.0001646151704075493,-2.413965828895855,3944.0,0.0002535496957403651,0.0001896510984075493,2.5035928e-05,2022-04-11
USA,GARW,2022-04-15,-3,Delta,0.0001677125314075493,0.0001677125314075493,-2.8320662347243197,2858.0,0.0003498950314905528,0.0001896510984075493,2.1938567e-05,2022-04-12
USA,GARW,2022-04-15,-2,Delta,0.0002274061149513189,0.0002274061149513189,-0.04889805869779996,2537.0,0.0,0.0002466798979513189,1.9273783e-05,2022-04-13
USA,GARW,2022-04-15,-1,Delta,0.0002297698539513189,0.0002297698539513189,-6.867966336806303,2762.0,0.000724112961622013,0.0002466798979513189,1.6910044e-05,2022-04-14
USA,GARW,2022-04-15,0,Delta,0.00019569477634555243,0.00019569477634555243,-0.043051373434348665,2916.0,0.0,0.00021045851284555244,1.47637365e-05,2022-04-15
