date	location	variant	date_submitted	sequences
2022-01-01	Australia	Delta	2022-01-04	1
2022-01-01	Australia	Delta	2022-01-06	1
2022-01-01	Australia	Delta	2022-01-11	1
2022-01-01	Australia	Delta	2022-01-12	2
2022-01-01	Australia	Delta	2022-01-13	10
2022-01-01	Australia	Delta	2022-01-14	1
2022-01-01	Australia	Delta	2022-01-20	5
2022-01-01	Australia	Delta	2022-01-22	5
2022-01-01	Australia	Delta	2022-02-04	1
2022-01-01	Australia	Delta	2022-02-08	1
2022-01-01	Australia	Delta	2022-02-11	1
2022-01-01	Australia	Delta	2022-03-02	2
2022-01-01	Australia	Delta	2022-03-18	1
2022-01-01	Australia	Omicron 21K	2022-01-04	1
2022-01-01	Australia	Omicron 21K	2022-01-06	1
2022-01-01	Australia	Omicron 21K	2022-01-07	5
2022-01-01	Australia	Omicron 21K	2022-01-10	2
2022-01-01	Australia	Omicron 21K	2022-01-11	11
2022-01-01	Australia	Omicron 21K	2022-01-12	8
2022-01-01	Australia	Omicron 21K	2022-01-13	120
2022-01-01	Australia	Omicron 21K	2022-01-14	1
2022-01-01	Australia	Omicron 21K	2022-01-20	28
2022-01-01	Australia	Omicron 21K	2022-01-22	62
2022-01-01	Australia	Omicron 21K	2022-01-30	10
2022-01-01	Australia	Omicron 21K	2022-02-01	4
2022-01-01	Australia	Omicron 21K	2022-02-08	65
2022-01-01	Australia	Omicron 21K	2022-02-10	21
2022-01-01	Australia	Omicron 21K	2022-02-23	15
2022-01-01	Australia	Omicron 21K	2022-02-24	7
2022-01-01	Australia	Omicron 21K	2022-03-04	2
2022-01-01	Australia	Omicron 21K	2022-04-04	7
2022-01-01	Australia	other	2022-02-08	1
2022-01-01	Brazil	Delta	2022-01-12	1
2022-01-01	Brazil	Delta	2022-01-27	1
2022-01-01	Brazil	Delta	2022-01-29	2
2022-01-01	Brazil	Delta	2022-02-02	3
2022-01-01	Brazil	Delta	2022-02-08	2
2022-01-01	Brazil	Delta	2022-06-11	1
2022-01-01	Brazil	Omicron 21K	2022-01-12	10
2022-01-01	Brazil	Omicron 21K	2022-01-14	7
2022-01-01	Brazil	Omicron 21K	2022-01-27	1
2022-01-01	Brazil	Omicron 21K	2022-01-28	5
2022-01-01	Brazil	Omicron 21K	2022-01-29	11
2022-01-01	Brazil	Omicron 21K	2022-01-31	15
2022-01-01	Brazil	Omicron 21K	2022-02-05	3
2022-01-01	Brazil	Omicron 21K	2022-02-08	1
2022-01-01	Brazil	Omicron 21K	2022-02-11	2
2022-01-01	Brazil	Omicron 21K	2022-02-15	1
2022-01-01	Brazil	Omicron 21K	2022-02-24	1
2022-01-01	Brazil	Omicron 21K	2022-03-01	1
2022-01-01	Brazil	Omicron 21K	2022-03-08	4
2022-01-01	Brazil	Omicron 21K	2022-03-09	1
2022-01-01	Brazil	Omicron 21K	2022-03-15	4
2022-01-01	Brazil	Omicron 21K	2022-03-17	2
