location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
Australia,Delta,0.38912046,0.38912046,0.38912046,0.38912046,0.38912046,0.38912046,0.38912046
Australia,Omicron 21K,0.7003608,0.7003608,0.7003608,0.7003608,0.7003608,0.7003608,0.7003608
Australia,Omicron 22C,0.81213707,0.81213707,0.81213707,0.81213707,0.81213707,0.81213707,0.81213707
Australia,other,0.809957,0.809957,0.809957,0.809957,0.809957,0.809957,0.809957
