location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
Japan,Delta,0.37043345,0.3843314,0.35611248,0.37993413,0.36042637,0.37536937,0.36557612
Japan,Omicron 21K,0.7464553,0.7719982,0.7206223,0.76256347,0.72918904,0.7556067,0.7375753
