date	location	variant	sequences	thres
2022-09-25	Denmark	Omicron 21L	1	100.0
2022-07-22	Denmark	Omicron 22A	1	100.0
2022-08-02	Denmark	Omicron 22A	3	100.0
2022-08-09	Denmark	Omicron 22A	1	100.0
2022-08-12	Denmark	Omicron 22A	2	100.0
2022-08-13	Denmark	Omicron 22A	1	100.0
2022-08-19	Denmark	Omicron 22A	1	100.0
2022-08-23	Denmark	Omicron 22A	1	100.0
2022-08-27	Denmark	Omicron 22A	1	100.0
2022-09-05	Denmark	Omicron 22A	1	100.0
2022-09-07	Denmark	Omicron 22A	2	100.0
2022-09-08	Denmark	Omicron 22A	1	100.0
2022-09-14	Denmark	Omicron 22A	1	100.0
2022-09-15	Denmark	Omicron 22A	1	100.0
2022-09-16	Denmark	Omicron 22A	1	100.0
2022-09-21	Denmark	Omicron 22A	1	100.0
2022-09-22	Denmark	Omicron 22A	1	100.0
2022-10-11	Denmark	Omicron 22A	1	100.0
2022-07-21	Denmark	Omicron 22B	1	100.0
2022-07-22	Denmark	Omicron 22B	2	100.0
2022-07-23	Denmark	Omicron 22B	1	100.0
2022-07-24	Denmark	Omicron 22B	4	100.0
2022-07-25	Denmark	Omicron 22B	2	100.0
2022-07-26	Denmark	Omicron 22B	1	100.0
2022-07-27	Denmark	Omicron 22B	5	100.0
2022-07-28	Denmark	Omicron 22B	3	100.0
2022-07-29	Denmark	Omicron 22B	3	100.0
2022-07-30	Denmark	Omicron 22B	2	100.0
2022-07-31	Denmark	Omicron 22B	1	100.0
2022-08-01	Denmark	Omicron 22B	4	100.0
2022-08-02	Denmark	Omicron 22B	6	100.0
2022-08-03	Denmark	Omicron 22B	4	100.0
2022-08-04	Denmark	Omicron 22B	2	100.0
2022-08-05	Denmark	Omicron 22B	3	100.0
2022-08-07	Denmark	Omicron 22B	4	100.0
2022-08-08	Denmark	Omicron 22B	4	100.0
2022-08-09	Denmark	Omicron 22B	1	100.0
2022-08-10	Denmark	Omicron 22B	3	100.0
2022-08-11	Denmark	Omicron 22B	1	100.0
2022-08-12	Denmark	Omicron 22B	5	100.0
2022-08-13	Denmark	Omicron 22B	5	100.0
2022-08-14	Denmark	Omicron 22B	6	100.0
2022-08-15	Denmark	Omicron 22B	5	100.0
2022-08-16	Denmark	Omicron 22B	3	100.0
2022-08-17	Denmark	Omicron 22B	3	100.0
2022-08-18	Denmark	Omicron 22B	3	100.0
2022-08-20	Denmark	Omicron 22B	2	100.0
2022-08-21	Denmark	Omicron 22B	5	100.0
2022-08-22	Denmark	Omicron 22B	6	100.0
2022-08-23	Denmark	Omicron 22B	4	100.0
2022-08-24	Denmark	Omicron 22B	7	100.0
2022-08-25	Denmark	Omicron 22B	2	100.0
2022-08-26	Denmark	Omicron 22B	2	100.0
2022-08-27	Denmark	Omicron 22B	4	100.0
2022-08-28	Denmark	Omicron 22B	1	100.0
2022-08-29	Denmark	Omicron 22B	4	100.0
2022-08-30	Denmark	Omicron 22B	5	100.0
2022-08-31	Denmark	Omicron 22B	4	100.0
2022-09-01	Denmark	Omicron 22B	7	100.0
2022-09-02	Denmark	Omicron 22B	2	100.0
2022-09-03	Denmark	Omicron 22B	1	100.0
2022-09-04	Denmark	Omicron 22B	2	100.0
2022-09-05	Denmark	Omicron 22B	5	100.0
2022-09-06	Denmark	Omicron 22B	3	100.0
2022-09-07	Denmark	Omicron 22B	6	100.0
2022-09-08	Denmark	Omicron 22B	3	100.0
2022-09-09	Denmark	Omicron 22B	5	100.0
2022-09-10	Denmark	Omicron 22B	3	100.0
2022-09-11	Denmark	Omicron 22B	2	100.0
2022-09-12	Denmark	Omicron 22B	6	100.0
2022-09-13	Denmark	Omicron 22B	8	100.0
2022-09-14	Denmark	Omicron 22B	4	100.0
2022-09-15	Denmark	Omicron 22B	7	100.0
2022-09-16	Denmark	Omicron 22B	4	100.0
2022-09-17	Denmark	Omicron 22B	1	100.0
2022-09-18	Denmark	Omicron 22B	3	100.0
2022-09-19	Denmark	Omicron 22B	3	100.0
2022-09-20	Denmark	Omicron 22B	3	100.0
2022-09-21	Denmark	Omicron 22B	7	100.0
2022-09-22	Denmark	Omicron 22B	5	100.0
2022-09-23	Denmark	Omicron 22B	1	100.0
2022-09-24	Denmark	Omicron 22B	3	100.0
2022-09-26	Denmark	Omicron 22B	4	100.0
2022-09-27	Denmark	Omicron 22B	6	100.0
2022-09-29	Denmark	Omicron 22B	3	100.0
2022-10-01	Denmark	Omicron 22B	4	100.0
2022-10-02	Denmark	Omicron 22B	1	100.0
2022-10-03	Denmark	Omicron 22B	5	100.0
2022-10-04	Denmark	Omicron 22B	3	100.0
2022-10-05	Denmark	Omicron 22B	2	100.0
2022-10-06	Denmark	Omicron 22B	3	100.0
2022-10-07	Denmark	Omicron 22B	3	100.0
2022-10-08	Denmark	Omicron 22B	5	100.0
2022-10-09	Denmark	Omicron 22B	3	100.0
2022-10-10	Denmark	Omicron 22B	2	100.0
2022-10-11	Denmark	Omicron 22B	4	100.0
2022-10-12	Denmark	Omicron 22B	4	100.0
2022-10-14	Denmark	Omicron 22B	3	100.0
2022-10-15	Denmark	Omicron 22B	4	100.0
2022-10-16	Denmark	Omicron 22B	2	100.0
2022-10-17	Denmark	Omicron 22B	8	100.0
2022-10-18	Denmark	Omicron 22B	2	100.0
2022-08-31	Denmark	Omicron 22D	1	100.0
2022-09-29	Denmark	Omicron 22D	1	100.0
2022-10-03	Denmark	Omicron 22E	1	100.0
2022-10-04	Denmark	Omicron 22E	1	100.0
2022-10-09	Denmark	Omicron 22E	1	100.0
2022-10-12	Denmark	Omicron 22E	1	100.0
2022-10-14	Denmark	Omicron 22E	1	100.0
2022-10-17	Denmark	Omicron 22E	1	100.0
2022-08-14	Germany	Omicron 21L	2	100.0
2022-10-18	Germany	Omicron 21L	1	100.0
2022-07-21	Germany	Omicron 22A	1	100.0
2022-07-25	Germany	Omicron 22A	1	100.0
2022-07-26	Germany	Omicron 22A	1	100.0
2022-07-27	Germany	Omicron 22A	1	100.0
2022-08-01	Germany	Omicron 22A	1	100.0
2022-08-15	Germany	Omicron 22A	2	100.0
2022-08-22	Germany	Omicron 22A	1	100.0
2022-08-29	Germany	Omicron 22A	1	100.0
