variant,location,freq,date,median_freq_nowcast,median_freq_forecast
Omicron 21K,South Africa,0.15000000000000002,2022-09-05,0.15000000000000002,
Omicron 22A,South Africa,0.12811688311688313,2022-09-05,0.12811688311688313,
Omicron 22B,South Africa,0.8103200371057514,2022-09-05,0.8103200371057514,
other,South Africa,0.09679383116883117,2022-09-05,0.09679383116883117,
Omicron 21K,South Africa,0.15000000000000002,2022-09-06,0.15000000000000002,
Omicron 22A,South Africa,0.15425324675324675,2022-09-06,0.15425324675324675,
Omicron 22B,South Africa,0.7957096474953618,2022-09-06,0.7957096474953618,
Omicron 22E,South Africa,0.0625,2022-09-06,0.0625,
other,South Africa,0.09875541125541125,2022-09-06,0.09875541125541125,
Omicron 21K,South Africa,0.11515151515151516,2022-09-07,0.11515151515151516,
Omicron 21L,South Africa,0.045454545454545456,2022-09-07,0.045454545454545456,
Omicron 22A,South Africa,0.15295454545454545,2022-09-07,0.15295454545454545,
Omicron 22B,South Africa,0.8040584415584416,2022-09-07,0.8040584415584416,
Omicron 22E,South Africa,0.0625,2022-09-07,0.0625,
other,South Africa,0.07670454545454546,2022-09-07,0.07670454545454546,
Omicron 21K,South Africa,0.11515151515151516,2022-09-08,0.11515151515151516,
Omicron 21L,South Africa,0.045454545454545456,2022-09-08,0.045454545454545456,
Omicron 22A,South Africa,0.17143280632411068,2022-09-08,0.17143280632411068,
Omicron 22B,South Africa,0.7997882552230379,2022-09-08,0.7997882552230379,
Omicron 22E,South Africa,0.0625,2022-09-08,0.0625,
other,South Africa,0.09090909090909091,2022-09-08,0.09090909090909091,
Omicron 21K,South Africa,0.11515151515151516,2022-09-09,0.11515151515151516,
Omicron 21L,South Africa,0.045454545454545456,2022-09-09,0.045454545454545456,
Omicron 22A,South Africa,0.20880654369784804,2022-09-09,0.20880654369784804,
Omicron 22B,South Africa,0.7860797415145242,2022-09-09,0.7860797415145242,
Omicron 22E,South Africa,0.0625,2022-09-09,0.0625,
Omicron 21K,South Africa,0.12272727272727274,2022-09-10,0.12272727272727274,
Omicron 21L,South Africa,0.045454545454545456,2022-09-10,0.045454545454545456,
