	date	location	cases
0	2022-01-23	Australia	32234
1	2022-01-24	Australia	58022
2	2022-01-25	Australia	52920
3	2022-01-26	Australia	51016
4	2022-01-27	Australia	66223
5	2022-01-28	Australia	65980
6	2022-01-29	Australia	47258
7	2022-01-30	Australia	36719
8	2022-01-31	Australia	20073
9	2022-02-01	Australia	20073
10	2022-02-02	Australia	24228
11	2022-02-03	Australia	32179
12	2022-02-04	Australia	27336
13	2022-02-05	Australia	22985
14	2022-02-06	Australia	25247
15	2022-02-07	Australia	27373
16	2022-02-08	Australia	31510
17	2022-02-09	Australia	11483
18	2022-02-10	Australia	31250
19	2022-02-11	Australia	22564
20	2022-02-12	Australia	25607
21	2022-02-13	Australia	12289
22	2022-02-14	Australia	30913
23	2022-02-15	Australia	24394
24	2022-02-16	Australia	11364
25	2022-02-17	Australia	11364
26	2022-02-18	Australia	23217
27	2022-02-19	Australia	17376
28	2022-02-20	Australia	18219
29	2022-02-21	Australia	25163
30	2022-02-22	Australia	25229
31	2022-02-23	Australia	24852
32	2022-02-24	Australia	26670
33	2022-02-25	Australia	19803
34	2022-02-26	Australia	17543
35	2022-02-27	Australia	21482
36	2022-02-28	Australia	25418
37	2022-03-01	Australia	21755
38	2022-03-02	Australia	40012
39	2022-03-03	Australia	25159
40	2022-03-04	Australia	22716
41	2022-03-05	Australia	17376
42	2022-03-06	Australia	22182
43	2022-03-07	Australia	44962
44	2022-03-08	Australia	30691
45	2022-03-09	Australia	36335
46	2022-03-10	Australia	31689
47	2022-03-11	Australia	35077
48	2022-03-12	Australia	33495
49	2022-03-13	Australia	26440
50	2022-03-14	Australia	28803
51	2022-03-15	Australia	54309
52	2022-03-16	Australia	57148
53	2022-03-17	Australia	49166
54	2022-03-18	Australia	46952
55	2022-03-19	Australia	40854
56	2022-03-20	Australia	43230
57	2022-03-21	Australia	53063
58	2022-03-22	Australia	57556
59	2022-03-23	Australia	59704
60	2022-03-24	Australia	66782
61	2022-03-25	Australia	47988
62	2022-03-26	Australia	46749
63	2022-03-27	Australia	50971
64	2022-03-28	Australia	55738
65	2022-03-29	Australia	65523
66	2022-03-30	Australia	60239
67	2022-03-31	Australia	65385
68	2022-04-01	Australia	55097
69	2022-04-02	Australia	48097
70	2022-04-03	Australia	40610
71	2022-04-04	Australia	55544
72	2022-04-05	Australia	75797
