	date	location	cases
0	2022-01-17	Australia	84355
1	2022-01-18	Australia	84615
2	2022-01-19	Australia	67604
3	2022-01-20	Australia	63941
4	2022-01-21	Australia	43166
5	2022-01-22	Australia	67182
6	2022-01-23	Australia	32234
7	2022-01-24	Australia	58022
8	2022-01-25	Australia	52920
9	2022-01-26	Australia	51016
10	2022-01-27	Australia	66223
11	2022-01-28	Australia	65980
12	2022-01-29	Australia	47258
13	2022-01-30	Australia	36719
14	2022-01-31	Australia	20073
15	2022-02-01	Australia	20073
16	2022-02-02	Australia	24228
17	2022-02-03	Australia	32179
18	2022-02-04	Australia	27336
19	2022-02-05	Australia	22985
20	2022-02-06	Australia	25247
21	2022-02-07	Australia	27373
22	2022-02-08	Australia	31510
23	2022-02-09	Australia	11483
24	2022-02-10	Australia	31250
25	2022-02-11	Australia	22564
26	2022-02-12	Australia	25607
27	2022-02-13	Australia	12289
28	2022-02-14	Australia	30913
29	2022-02-15	Australia	24394
30	2022-02-16	Australia	11364
31	2022-02-17	Australia	11364
32	2022-02-18	Australia	23217
33	2022-02-19	Australia	17376
34	2022-02-20	Australia	18219
35	2022-02-21	Australia	25163
36	2022-02-22	Australia	25229
37	2022-02-23	Australia	24852
38	2022-02-24	Australia	26670
39	2022-02-25	Australia	19803
40	2022-02-26	Australia	17543
41	2022-02-27	Australia	21482
42	2022-02-28	Australia	25418
43	2022-03-01	Australia	21755
44	2022-03-02	Australia	40012
45	2022-03-03	Australia	25159
46	2022-03-04	Australia	22716
47	2022-03-05	Australia	17376
48	2022-03-06	Australia	22182
49	2022-03-07	Australia	44962
50	2022-03-08	Australia	30691
51	2022-03-09	Australia	36335
52	2022-03-10	Australia	31689
53	2022-03-11	Australia	35077
54	2022-03-12	Australia	33495
55	2022-03-13	Australia	26440
56	2022-03-14	Australia	28803
57	2022-03-15	Australia	54309
58	2022-03-16	Australia	57148
59	2022-03-17	Australia	49166
60	2022-03-18	Australia	46952
61	2022-03-19	Australia	40854
62	2022-03-20	Australia	43230
63	2022-03-21	Australia	53063
64	2022-03-22	Australia	57556
65	2022-03-23	Australia	59704
66	2022-03-24	Australia	66782
67	2022-03-25	Australia	47988
68	2022-03-26	Australia	46749
69	2022-03-27	Australia	50971
70	2022-03-28	Australia	55738
71	2022-03-29	Australia	65523
72	2022-03-30	Australia	60239
73	2022-03-31	Australia	65385
74	2022-04-01	Australia	55097
75	2022-04-02	Australia	48097
76	2022-04-03	Australia	40610
77	2022-04-04	Australia	55544
78	2022-04-05	Australia	75797
79	2022-04-06	Australia	62608
80	2022-04-07	Australia	60481
81	2022-04-08	Australia	49317
82	2022-04-09	Australia	39025
83	2022-04-10	Australia	48724
84	2022-04-11	Australia	46267
85	2022-04-12	Australia	53017
86	2022-04-13	Australia	54709
87	2022-04-14	Australia	46499
88	2022-04-15	Australia	36580
89	2022-04-16	Australia	39177
90	2022-04-17	Australia	32365
91	2022-04-18	Australia	42032
92	2022-04-19	Australia	50580
93	2022-04-20	Australia	53901
94	2022-04-21	Australia	49848
95	2022-04-22	Australia	37209
96	2022-04-23	Australia	35052
97	2022-04-24	Australia	33709
98	2022-04-25	Australia	37480
99	2022-04-26	Australia	39909
100	2022-04-27	Australia	50876
101	2022-04-28	Australia	41780
102	2022-04-29	Australia	38172
103	2022-04-30	Australia	25614
104	2022-05-01	Australia	39217
105	2022-05-02	Australia	37881
106	2022-05-03	Australia	42324
107	2022-05-04	Australia	58258
108	2022-05-05	Australia	40811
109	2022-05-06	Australia	36035
110	2022-05-07	Australia	38806
111	2022-05-08	Australia	40457
112	2022-05-09	Australia	48033
113	2022-05-10	Australia	57054
114	2022-05-11	Australia	57348
115	2022-05-12	Australia	47516
116	2022-05-13	Australia	51486
117	2022-05-14	Australia	41698
118	2022-05-15	Australia	45774
119	2022-05-16	Australia	67455
120	2022-01-17	Austria	14856
121	2022-01-18	Austria	16110
