	date	location	cases
0	2021-11-15	Australia	1014
1	2021-11-16	Australia	1228
2	2021-11-17	Australia	1267
3	2021-11-18	Australia	1505
4	2021-11-19	Australia	1360
5	2021-11-20	Australia	1465
6	2021-11-21	Australia	1207
7	2021-11-22	Australia	1002
8	2021-11-23	Australia	1464
9	2021-11-24	Australia	1527
10	2021-11-25	Australia	1627
11	2021-11-26	Australia	1480
12	2021-11-27	Australia	1235
13	2021-11-28	Australia	1155
14	2021-11-29	Australia	1099
15	2021-11-30	Australia	1417
16	2021-12-01	Australia	1702
17	2021-12-02	Australia	1522
18	2021-12-03	Australia	1708
19	2021-12-04	Australia	1249
20	2021-12-05	Australia	1285
21	2021-12-06	Australia	1434
22	2021-12-07	Australia	1705
23	2021-12-08	Australia	1654
24	2021-12-09	Australia	1711
25	2021-12-10	Australia	1757
26	2021-12-11	Australia	1543
27	2021-12-12	Australia	1843
28	2021-12-13	Australia	1970
29	2021-12-14	Australia	2809
30	2021-12-15	Australia	3423
31	2021-12-16	Australia	3802
32	2021-12-17	Australia	4017
33	2021-12-18	Australia	3862
34	2021-12-19	Australia	4031
35	2021-12-20	Australia	4492
36	2021-12-21	Australia	5531
37	2021-12-22	Australia	8357
38	2021-12-23	Australia	8218
39	2021-12-24	Australia	9855
40	2021-12-25	Australia	9459
41	2021-12-26	Australia	9884
42	2021-12-27	Australia	11797
43	2021-12-28	Australia	17678
44	2021-12-29	Australia	21369
45	2021-12-30	Australia	33811
46	2021-12-31	Australia	30363
47	2022-01-01	Australia	37459
48	2022-01-02	Australia	29608
49	2022-01-03	Australia	44745
50	2022-01-04	Australia	71495
51	2022-01-05	Australia	75426
52	2022-01-06	Australia	78229
53	2022-01-07	Australia	98092
54	2022-01-08	Australia	111907
55	2022-01-09	Australia	72834
56	2022-01-10	Australia	93806
57	2022-01-11	Australia	84408
58	2022-01-12	Australia	175271
59	2022-01-13	Australia	128185
60	2022-01-14	Australia	86288
61	2022-01-15	Australia	112867
62	2022-01-16	Australia	59891
63	2022-01-17	Australia	84355
64	2022-01-18	Australia	84615
65	2022-01-19	Australia	67604
66	2022-01-20	Australia	63941
67	2022-01-21	Australia	43166
68	2022-01-22	Australia	67182
69	2022-01-23	Australia	32234
70	2022-01-24	Australia	58022
71	2022-01-25	Australia	52920
72	2022-01-26	Australia	51016
73	2022-01-27	Australia	66223
74	2022-01-28	Australia	65980
75	2022-01-29	Australia	47258
76	2022-01-30	Australia	36719
77	2022-01-31	Australia	20073
78	2022-02-01	Australia	20073
79	2022-02-02	Australia	24228
80	2022-02-03	Australia	32179
81	2022-02-04	Australia	27336
82	2022-02-05	Australia	22985
83	2022-02-06	Australia	25247
84	2022-02-07	Australia	27373
85	2022-02-08	Australia	31510
86	2022-02-09	Australia	11483
87	2022-02-10	Australia	31250
88	2022-02-11	Australia	22564
89	2022-02-12	Australia	25607
90	2022-02-13	Australia	12289
91	2022-02-14	Australia	30913
92	2022-02-15	Australia	24394
93	2022-02-16	Australia	11364
94	2022-02-17	Australia	11364
95	2022-02-18	Australia	23217
96	2022-02-19	Australia	17376
97	2022-02-20	Australia	18219
98	2022-02-21	Australia	25163
99	2022-02-22	Australia	25229
100	2022-02-23	Australia	24852
101	2022-02-24	Australia	26670
102	2022-02-25	Australia	19803
103	2022-02-26	Australia	17543
104	2022-02-27	Australia	21482
105	2022-02-28	Australia	25418
106	2022-03-01	Australia	21755
107	2022-03-02	Australia	40012
108	2022-03-03	Australia	25159
109	2022-03-04	Australia	22716
110	2022-03-05	Australia	17376
111	2022-03-06	Australia	22182
112	2022-03-07	Australia	44962
113	2022-03-08	Australia	30691
114	2022-03-09	Australia	36335
115	2022-03-10	Australia	31689
116	2022-03-11	Australia	35077
117	2022-03-12	Australia	33495
118	2022-03-13	Australia	26440
119	2022-03-14	Australia	28803
120	2022-03-15	Australia	54309
121	2022-03-16	Australia	57148
122	2022-03-17	Australia	49166
123	2022-03-18	Australia	46952
124	2022-03-19	Australia	40854
125	2022-03-20	Australia	43230
126	2021-11-15	Austria	11889
127	2021-11-16	Austria	10363
128	2021-11-17	Austria	14416
129	2021-11-18	Austria	15145
130	2021-11-19	Austria	15809
131	2021-11-20	Austria	15297
132	2021-11-21	Austria	14042
133	2021-11-22	Austria	13806
134	2021-11-23	Austria	9513
135	2021-11-24	Austria	15365
136	2021-11-25	Austria	13592
137	2021-11-26	Austria	12245
138	2021-11-27	Austria	11671
139	2021-11-28	Austria	10478
140	2021-11-29	Austria	8526
