	date	location	cases
0	2021-10-15	Denmark	700
1	2021-10-16	Denmark	753
2	2021-10-17	Denmark	591
3	2021-10-18	Denmark	752
4	2021-10-19	Denmark	756
5	2021-10-20	Denmark	1127
6	2021-10-21	Denmark	1247
7	2021-10-22	Denmark	1270
8	2021-10-23	Denmark	1262
9	2021-10-24	Denmark	1349
10	2021-10-25	Denmark	1411
11	2021-10-26	Denmark	1253
12	2021-10-27	Denmark	1871
13	2021-10-28	Denmark	1847
14	2021-10-29	Denmark	1784
15	2021-10-30	Denmark	1671
16	2021-10-31	Denmark	1532
17	2021-11-01	Denmark	1457
18	2021-11-02	Denmark	1981
19	2021-11-03	Denmark	1978
20	2021-11-04	Denmark	2598
21	2021-11-05	Denmark	2251
22	2021-11-06	Denmark	2097
23	2021-11-07	Denmark	2416
24	2021-11-08	Denmark	2294
25	2021-11-09	Denmark	2562
26	2021-11-10	Denmark	3017
27	2021-11-11	Denmark	2132
28	2021-11-12	Denmark	4585
29	2021-11-13	Denmark	2948
30	2021-11-14	Denmark	3223
31	2021-11-15	Denmark	3670
32	2021-11-16	Denmark	3899
33	2021-11-17	Denmark	3907
34	2021-11-18	Denmark	4013
35	2021-11-19	Denmark	4070
36	2021-11-20	Denmark	3795
37	2021-11-21	Denmark	3415
38	2021-11-22	Denmark	3711
39	2021-11-23	Denmark	4199
40	2021-11-24	Denmark	4426
41	2021-11-25	Denmark	4390
42	2021-11-26	Denmark	4076
43	2021-11-27	Denmark	3744
44	2021-11-28	Denmark	4290
45	2021-11-29	Denmark	4326
46	2021-11-30	Denmark	4148
47	2021-12-01	Denmark	5120
48	2021-12-02	Denmark	4680
49	2021-12-03	Denmark	4559
50	2021-12-04	Denmark	4325
51	2021-12-05	Denmark	3026
52	2021-12-06	Denmark	7146
53	2021-12-07	Denmark	6324
54	2021-12-08	Denmark	6629
55	2021-12-09	Denmark	6985
56	2021-12-10	Denmark	6599
57	2021-12-11	Denmark	5606
58	2021-12-12	Denmark	5989
59	2021-12-13	Denmark	7799
60	2021-12-14	Denmark	8314
61	2021-12-15	Denmark	8773
62	2021-12-16	Denmark	9999
63	2021-12-17	Denmark	11194
64	2021-12-18	Denmark	8594
65	2021-12-19	Denmark	8212
66	2021-12-20	Denmark	10082
67	2021-12-21	Denmark	20578
68	2021-12-22	Denmark	13386
69	2021-12-23	Denmark	12487
70	2021-12-24	Denmark	11229
71	2021-12-25	Denmark	0
72	2021-12-26	Denmark	0
73	2021-12-27	Denmark	41035
74	2021-12-28	Denmark	13000
75	2021-12-29	Denmark	23228
76	2021-12-30	Denmark	21403
77	2021-12-31	Denmark	18695
78	2022-01-01	Denmark	20885
79	2022-01-02	Denmark	7954
80	2022-01-03	Denmark	8801
81	2022-01-04	Denmark	25073
82	2022-01-05	Denmark	28283
83	2022-01-06	Denmark	25995
84	2022-01-07	Denmark	18261
85	2022-01-08	Denmark	12588
86	2022-01-09	Denmark	19248
87	2022-01-10	Denmark	14414
88	2022-01-11	Denmark	22396
89	2022-01-12	Denmark	24343
90	2022-01-13	Denmark	25751
91	2022-01-14	Denmark	23614
92	2022-01-15	Denmark	25034
93	2022-01-16	Denmark	26169
94	2022-01-17	Denmark	28780
95	2022-01-18	Denmark	33493
96	2022-01-19	Denmark	38759
97	2022-01-20	Denmark	40626
98	2022-01-21	Denmark	46831
99	2022-01-22	Denmark	36120
100	2022-01-23	Denmark	42018
101	2022-01-24	Denmark	40348
102	2022-01-25	Denmark	46590
103	2022-01-26	Denmark	46747
104	2021-10-15	Germany	11664
105	2021-10-16	Germany	8420
106	2021-10-17	Germany	6766
107	2021-10-18	Germany	6562
108	2021-10-19	Germany	22340
109	2021-10-20	Germany	18802
110	2021-10-21	Germany	17508
111	2021-10-22	Germany	15093
112	2021-10-23	Germany	3849
113	2021-10-24	Germany	9905
114	2021-10-25	Germany	9359
115	2021-10-26	Germany	31402
116	2021-10-27	Germany	28826
117	2021-10-28	Germany	8079
118	2021-10-29	Germany	37520
119	2021-10-30	Germany	17248
120	2021-10-31	Germany	0
121	2021-11-01	Germany	11315
122	2021-11-02	Germany	30691
123	2021-11-03	Germany	34498
124	2021-11-04	Germany	37640
125	2021-11-05	Germany	33785
126	2021-11-06	Germany	23788
127	2021-11-07	Germany	12788
128	2021-11-08	Germany	23714
129	2021-11-09	Germany	41286
130	2021-11-10	Germany	51077
131	2021-11-11	Germany	48834
132	2021-11-12	Germany	45356
133	2021-11-13	Germany	34309
134	2021-11-14	Germany	19203
135	2021-11-15	Germany	34958
136	2021-11-16	Germany	53627
137	2021-11-17	Germany	68366
138	2021-11-18	Germany	58768
139	2021-11-19	Germany	57302
140	2021-11-20	Germany	45183
141	2021-11-21	Germany	26241
142	2021-11-22	Germany	47887
143	2021-11-23	Germany	68049
144	2021-11-24	Germany	79051
145	2021-11-25	Germany	74579
146	2021-11-26	Germany	65584
147	2021-11-27	Germany	44977
148	2021-11-28	Germany	23325
149	2021-11-29	Germany	50745
150	2021-11-30	Germany	68680
151	2021-12-01	Germany	75456
152	2021-12-02	Germany	73279
153	2021-12-03	Germany	62193
154	2021-12-04	Germany	43500
155	2021-12-05	Germany	22945
156	2021-12-06	Germany	18322
157	2021-12-07	Germany	93087
158	2021-12-08	Germany	27482
159	2021-12-09	Germany	103018
160	2021-12-10	Germany	53296
161	2021-12-11	Germany	32752
162	2021-12-12	Germany	17116
163	2021-12-13	Germany	35423
164	2021-12-14	Germany	52233
165	2021-12-15	Germany	56902
166	2021-12-16	Germany	51400
167	2021-12-17	Germany	15716
168	2021-12-18	Germany	55603
169	2021-12-19	Germany	0
170	2021-12-20	Germany	21742
171	2021-12-21	Germany	64949
172	2021-12-22	Germany	44313
173	2021-12-23	Germany	34420
174	2021-12-24	Germany	4068
175	2021-12-25	Germany	17238
176	2021-12-26	Germany	10172
177	2021-12-27	Germany	18750
178	2021-12-28	Germany	30998
179	2021-12-29	Germany	69956
180	2021-12-30	Germany	42070
181	2021-12-31	Germany	21764
182	2022-01-01	Germany	2968
183	2022-01-02	Germany	12636
184	2022-01-03	Germany	50013
185	2022-01-04	Germany	61905
186	2022-01-05	Germany	67337
187	2022-01-06	Germany	59110
188	2022-01-07	Germany	52621
189	2022-01-08	Germany	32128
190	2022-01-09	Germany	21839
191	2022-01-10	Germany	16618
192	2022-01-11	Germany	120271
193	2022-01-12	Germany	86232
194	2022-01-13	Germany	89920
195	2022-01-14	Germany	77175
196	2022-01-15	Germany	44251
197	2022-01-16	Germany	33129
198	2022-01-17	Germany	82818
199	2022-01-18	Germany	118105
200	2022-01-19	Germany	139000
201	2022-01-20	Germany	140870
202	2022-01-21	Germany	133329
203	2022-01-22	Germany	81343
204	2022-01-23	Germany	56226
205	2022-01-24	Germany	136473
206	2022-01-25	Germany	179169
207	2022-01-26	Germany	228608
208	2021-10-15	India	15981
209	2021-10-16	India	14146
210	2021-10-17	India	13596
211	2021-10-18	India	13058
212	2021-10-19	India	14623
213	2021-10-20	India	18454
214	2021-10-21	India	15786
215	2021-10-22	India	16326
216	2021-10-23	India	15906
217	2021-10-24	India	14306
218	2021-10-25	India	12428
219	2021-10-26	India	13451
220	2021-10-27	India	16156
221	2021-10-28	India	14348
222	2021-10-29	India	14313
223	2021-10-30	India	12830
224	2021-10-31	India	12514
225	2021-11-01	India	10423
226	2021-11-02	India	11903
227	2021-11-03	India	12885
228	2021-11-04	India	12729
229	2021-11-05	India	10929
230	2021-11-06	India	10826
231	2021-11-07	India	11478
232	2021-11-08	India	10126
233	2021-11-09	India	11466
234	2021-11-10	India	13091
235	2021-11-11	India	12516
236	2021-11-12	India	11850
237	2021-11-13	India	11271
238	2021-11-14	India	10229
239	2021-11-15	India	8865
240	2021-11-16	India	10197
241	2021-11-17	India	11919
242	2021-11-18	India	11106
243	2021-11-19	India	10302
244	2021-11-20	India	10488
245	2021-11-21	India	8488
246	2021-11-22	India	7579
247	2021-11-23	India	9283
248	2021-11-24	India	9119
249	2021-11-25	India	10549
250	2021-11-26	India	8318
251	2021-11-27	India	8774
252	2021-11-28	India	8309
253	2021-11-29	India	6990
254	2021-11-30	India	8954
255	2021-12-01	India	9765
256	2021-12-02	India	9216
257	2021-12-03	India	8603
258	2021-12-04	India	0
259	2021-12-05	India	17201
260	2021-12-06	India	6822
261	2021-12-07	India	8439
262	2021-12-08	India	9419
263	2021-12-09	India	8402
264	2021-12-10	India	7990
265	2021-12-11	India	7877
266	2021-12-12	India	7350
267	2021-12-13	India	5784
268	2021-12-14	India	6984
269	2021-12-15	India	7974
270	2021-12-16	India	7447
271	2021-12-17	India	0
272	2021-12-18	India	7145
273	2021-12-19	India	13644
274	2021-12-20	India	5326
275	2021-12-21	India	6317
276	2021-12-22	India	7495
277	2021-12-23	India	6650
