	date	location	cases
0	2022-01-06	Australia	78229
1	2022-01-07	Australia	98092
2	2022-01-08	Australia	111907
3	2022-01-09	Australia	72834
4	2022-01-10	Australia	93806
5	2022-01-11	Australia	84408
6	2022-01-12	Australia	175271
7	2022-01-13	Australia	128185
8	2022-01-14	Australia	86288
9	2022-01-15	Australia	112867
10	2022-01-16	Australia	59891
11	2022-01-17	Australia	84355
12	2022-01-18	Australia	84615
13	2022-01-19	Australia	67604
14	2022-01-20	Australia	63941
15	2022-01-21	Australia	43166
16	2022-01-22	Australia	67182
17	2022-01-23	Australia	32234
18	2022-01-24	Australia	58022
19	2022-01-25	Australia	52920
20	2022-01-26	Australia	51016
21	2022-01-27	Australia	66223
22	2022-01-28	Australia	65980
23	2022-01-29	Australia	47258
24	2022-01-30	Australia	36719
25	2022-01-31	Australia	20073
26	2022-02-01	Australia	20073
27	2022-02-02	Australia	24228
28	2022-02-03	Australia	32179
29	2022-02-04	Australia	27336
30	2022-02-05	Australia	22985
31	2022-02-06	Australia	25247
32	2022-02-07	Australia	27373
33	2022-02-08	Australia	31510
34	2022-02-09	Australia	11483
35	2022-02-10	Australia	31250
36	2022-02-11	Australia	22564
37	2022-02-12	Australia	25607
38	2022-02-13	Australia	12289
39	2022-02-14	Australia	30913
40	2022-02-15	Australia	24394
41	2022-02-16	Australia	11364
42	2022-02-17	Australia	11364
43	2022-02-18	Australia	23217
44	2022-02-19	Australia	17376
45	2022-02-20	Australia	18219
46	2022-02-21	Australia	25163
47	2022-02-22	Australia	25229
48	2022-02-23	Australia	24852
49	2022-02-24	Australia	26670
50	2022-02-25	Australia	19803
51	2022-02-26	Australia	17543
52	2022-02-27	Australia	21482
53	2022-02-28	Australia	25418
54	2022-03-01	Australia	21755
55	2022-03-02	Australia	40012
56	2022-03-03	Australia	25159
57	2022-03-04	Australia	22716
58	2022-03-05	Australia	17376
59	2022-03-06	Australia	22182
60	2022-03-07	Australia	44962
61	2022-03-08	Australia	30691
62	2022-03-09	Australia	36335
63	2022-03-10	Australia	31689
64	2022-03-11	Australia	35077
