	date	location	cases
0	2022-01-26	Australia	51016
1	2022-01-27	Australia	66223
2	2022-01-28	Australia	65980
3	2022-01-29	Australia	47258
4	2022-01-30	Australia	36719
5	2022-01-31	Australia	20073
6	2022-02-01	Australia	20073
7	2022-02-02	Australia	24228
8	2022-02-03	Australia	32179
9	2022-02-04	Australia	27336
10	2022-02-05	Australia	22985
11	2022-02-06	Australia	25247
12	2022-02-07	Australia	27373
13	2022-02-08	Australia	31510
14	2022-02-09	Australia	11483
15	2022-02-10	Australia	31250
16	2022-02-11	Australia	22564
17	2022-02-12	Australia	25607
18	2022-02-13	Australia	12289
19	2022-02-14	Australia	30913
20	2022-02-15	Australia	24394
21	2022-02-16	Australia	11364
22	2022-02-17	Australia	11364
23	2022-02-18	Australia	23217
24	2022-02-19	Australia	17376
25	2022-02-20	Australia	18219
26	2022-02-21	Australia	25163
27	2022-02-22	Australia	25229
28	2022-02-23	Australia	24852
29	2022-02-24	Australia	26670
30	2022-02-25	Australia	19803
31	2022-02-26	Australia	17543
32	2022-02-27	Australia	21482
33	2022-02-28	Australia	25418
34	2022-03-01	Australia	21755
35	2022-03-02	Australia	40012
36	2022-03-03	Australia	25159
37	2022-03-04	Australia	22716
38	2022-03-05	Australia	17376
39	2022-03-06	Australia	22182
40	2022-03-07	Australia	44962
41	2022-03-08	Australia	30691
42	2022-03-09	Australia	36335
43	2022-03-10	Australia	31689
44	2022-03-11	Australia	35077
45	2022-03-12	Australia	33495
46	2022-03-13	Australia	26440
47	2022-03-14	Australia	28803
48	2022-03-15	Australia	54309
49	2022-03-16	Australia	57148
50	2022-03-17	Australia	49166
51	2022-03-18	Australia	46952
52	2022-03-19	Australia	40854
53	2022-03-20	Australia	43230
54	2022-03-21	Australia	53063
55	2022-03-22	Australia	57556
56	2022-03-23	Australia	59704
57	2022-03-24	Australia	66782
58	2022-03-25	Australia	47988
59	2022-03-26	Australia	46749
60	2022-03-27	Australia	50971
61	2022-03-28	Australia	55738
62	2022-03-29	Australia	65523
63	2022-03-30	Australia	60239
64	2022-03-31	Australia	65385
65	2022-04-01	Australia	55097
66	2022-04-02	Australia	48097
67	2022-04-03	Australia	40610
68	2022-04-04	Australia	55544
69	2022-04-05	Australia	75797
70	2022-04-06	Australia	62608
71	2022-04-07	Australia	60481
72	2022-04-08	Australia	49317
73	2022-04-09	Australia	39025
74	2022-04-10	Australia	48724
75	2022-04-11	Australia	46267
76	2022-04-12	Australia	53017
77	2022-04-13	Australia	54709
78	2022-04-14	Australia	46499
79	2022-04-15	Australia	36580
80	2022-04-16	Australia	39177
81	2022-04-17	Australia	32365
82	2022-04-18	Australia	42032
83	2022-04-19	Australia	50580
84	2022-04-20	Australia	53901
85	2022-04-21	Australia	49848
86	2022-04-22	Australia	37209
87	2022-04-23	Australia	35052
88	2022-04-24	Australia	33709
89	2022-04-25	Australia	37480
90	2022-04-26	Australia	39909
91	2022-04-27	Australia	50876
92	2022-04-28	Australia	41780
93	2022-04-29	Australia	38172
94	2022-04-30	Australia	25614
95	2022-05-01	Australia	39217
96	2022-05-02	Australia	37881
97	2022-05-03	Australia	42324
98	2022-05-04	Australia	58258
99	2022-05-05	Australia	40811
100	2022-05-06	Australia	36035
101	2022-05-07	Australia	38806
102	2022-05-08	Australia	40457
103	2022-05-09	Australia	48033
104	2022-05-10	Australia	57054
105	2022-05-11	Australia	57348
106	2022-05-12	Australia	47516
107	2022-05-13	Australia	51486
108	2022-05-14	Australia	41698
109	2022-05-15	Australia	45774
110	2022-05-16	Australia	67455
111	2022-05-17	Australia	56461
112	2022-05-18	Australia	53985
113	2022-05-19	Australia	50229
114	2022-05-20	Australia	46485
115	2022-05-21	Australia	38512
116	2022-05-22	Australia	34087
117	2022-05-23	Australia	42868
118	2022-05-24	Australia	45792
119	2022-05-25	Australia	46028
120	2022-01-26	Austria	26697
121	2022-01-27	Austria	38141
122	2022-01-28	Austria	35761
123	2022-01-29	Austria	37829
124	2022-01-30	Austria	33591
125	2022-01-31	Austria	28952
126	2022-02-01	Austria	26105
127	2022-02-02	Austria	27730
128	2022-02-03	Austria	43978
129	2022-02-04	Austria	33642
130	2022-02-05	Austria	36848
131	2022-02-06	Austria	33200
132	2022-02-07	Austria	29980
133	2022-02-08	Austria	25927
134	2022-02-09	Austria	29056
135	2022-02-10	Austria	40419
136	2022-02-11	Austria	35351
137	2022-02-12	Austria	33380
138	2022-02-13	Austria	29883
139	2022-02-14	Austria	25038
140	2022-02-15	Austria	24088
141	2022-02-16	Austria	26526
142	2022-02-17	Austria	38841
143	2022-02-18	Austria	30930
144	2022-02-19	Austria	30629
145	2022-02-20	Austria	25828
146	2022-02-21	Austria	21836
147	2022-02-22	Austria	21426
148	2022-02-23	Austria	23772
149	2022-02-24	Austria	35384
150	2022-02-25	Austria	28633
151	2022-02-26	Austria	29920
152	2022-02-27	Austria	25200
153	2022-02-28	Austria	22171
154	2022-03-01	Austria	21318
155	2022-03-02	Austria	27453
156	2022-03-03	Austria	41093
157	2022-03-04	Austria	31841
158	2022-03-05	Austria	32075
159	2022-03-06	Austria	31678
160	2022-03-07	Austria	27737
161	2022-03-08	Austria	26662
162	2022-03-09	Austria	34237
163	2022-03-10	Austria	51348
164	2022-03-11	Austria	50249
165	2022-03-12	Austria	49632
166	2022-03-13	Austria	43761
167	2022-03-14	Austria	37633
168	2022-03-15	Austria	34529
169	2022-03-16	Austria	40246
170	2022-03-17	Austria	64038
171	2022-03-18	Austria	51951
172	2022-03-19	Austria	50984
173	2022-03-20	Austria	42322
174	2022-03-21	Austria	37709
175	2022-03-22	Austria	31344
176	2022-03-23	Austria	37095
177	2022-03-24	Austria	54899
178	2022-03-25	Austria	41281
179	2022-03-26	Austria	37352
180	2022-03-27	Austria	33200
181	2022-03-28	Austria	25659
182	2022-03-29	Austria	21070
183	2022-03-30	Austria	26137
184	2022-03-31	Austria	34192
185	2022-04-01	Austria	26188
186	2022-04-02	Austria	22295
187	2022-04-03	Austria	18992
188	2022-04-04	Austria	14010
189	2022-04-05	Austria	11550
190	2022-04-06	Austria	15351
191	2022-04-07	Austria	21047
192	2022-04-08	Austria	16391
193	2022-04-09	Austria	13930
194	2022-04-10	Austria	13027
195	2022-04-11	Austria	10670
196	2022-04-12	Austria	7340
197	2022-04-13	Austria	9524
198	2022-04-14	Austria	12626
199	2022-04-15	Austria	10449
200	2022-04-16	Austria	9977
201	2022-04-17	Austria	8807
202	2022-04-18	Austria	7494
203	2022-04-19	Austria	5629
204	2022-04-20	Austria	5774
205	2022-04-21	Austria	8601
206	2022-04-22	Austria	11002
207	2022-04-23	Austria	8140
208	2022-04-24	Austria	6574
209	2022-04-25	Austria	5547
210	2022-04-26	Austria	4470
211	2022-04-27	Austria	6249
212	2022-04-28	Austria	8313
213	2022-04-29	Austria	6602
214	2022-04-30	Austria	6127
215	2022-05-01	Austria	5331
216	2022-05-02	Austria	4513
217	2022-05-03	Austria	3970
218	2022-05-04	Austria	5679
219	2022-05-05	Austria	7215
220	2022-05-06	Austria	6020
221	2022-05-07	Austria	6149
222	2022-05-08	Austria	5164
223	2022-05-09	Austria	3521
224	2022-05-10	Austria	3957
225	2022-05-11	Austria	4787
226	2022-05-12	Austria	5165
227	2022-05-13	Austria	5254
228	2022-05-14	Austria	4963
229	2022-05-15	Austria	3859
230	2022-05-16	Austria	3450
231	2022-05-17	Austria	2156
232	2022-05-18	Austria	2837
233	2022-05-19	Austria	4426
234	2022-05-20	Austria	3302
235	2022-05-21	Austria	2475
236	2022-05-22	Austria	2475
237	2022-05-23	Austria	2475
238	2022-05-24	Austria	207
239	2022-05-25	Austria	2239
240	2022-01-26	Belgium	61227
241	2022-01-27	Belgium	68285
242	2022-01-28	Belgium	48201
243	2022-01-29	Belgium	33105
244	2022-01-30	Belgium	33105
245	2022-01-31	Belgium	33105
246	2022-02-01	Belgium	28962
247	2022-02-02	Belgium	45428
248	2022-02-03	Belgium	38027
249	2022-02-04	Belgium	28382
250	2022-02-05	Belgium	16265
251	2022-02-06	Belgium	16265
252	2022-02-07	Belgium	16265
253	2022-02-08	Belgium	19057
254	2022-02-09	Belgium	22333
255	2022-02-10	Belgium	19616
256	2022-02-11	Belgium	15242
257	2022-02-12	Belgium	8819
258	2022-02-13	Belgium	8819
259	2022-02-14	Belgium	8819
260	2022-02-15	Belgium	12762
261	2022-02-16	Belgium	12714
262	2022-02-17	Belgium	11503
263	2022-02-18	Belgium	9705
264	2022-02-19	Belgium	5996
265	2022-02-20	Belgium	5996
266	2022-02-21	Belgium	5996
267	2022-02-22	Belgium	8356
268	2022-02-23	Belgium	8473
269	2022-02-24	Belgium	8634
270	2022-02-25	Belgium	6359
271	2022-02-26	Belgium	4427
272	2022-02-27	Belgium	4427
273	2022-02-28	Belgium	4427
274	2022-03-01	Belgium	6527
275	2022-03-02	Belgium	3869
276	2022-03-03	Belgium	3869
277	2022-03-04	Belgium	14713
278	2022-03-05	Belgium	5112
279	2022-03-06	Belgium	5112
280	2022-03-07	Belgium	5112
281	2022-03-08	Belgium	7495
282	2022-03-09	Belgium	10274
283	2022-03-10	Belgium	10274
284	2022-03-11	Belgium	10381
285	2022-03-12	Belgium	6011
286	2022-03-13	Belgium	6011
287	2022-03-14	Belgium	6011
288	2022-03-15	Belgium	12850
289	2022-03-16	Belgium	12850
290	2022-03-17	Belgium	12275
291	2022-03-18	Belgium	5751
292	2022-03-19	Belgium	5751
293	2022-03-20	Belgium	10692
294	2022-03-21	Belgium	10692
295	2022-03-22	Belgium	12669
296	2022-03-23	Belgium	16162
297	2022-03-24	Belgium	13457
298	2022-03-25	Belgium	10852
299	2022-03-26	Belgium	8454
300	2022-03-27	Belgium	8454
301	2022-03-28	Belgium	8454
302	2022-03-29	Belgium	14534
303	2022-03-30	Belgium	14534
304	2022-03-31	Belgium	14534
305	2022-04-01	Belgium	7619
306	2022-04-02	Belgium	7619
307	2022-04-03	Belgium	7619
308	2022-04-04	Belgium	7619
309	2022-04-05	Belgium	11403
310	2022-04-06	Belgium	11403
311	2022-04-07	Belgium	11403
312	2022-04-08	Belgium	7025
313	2022-04-09	Belgium	7025
