	date	location	cases
0	2022-01-28	Australia	65980
1	2022-01-29	Australia	47258
2	2022-01-30	Australia	36719
3	2022-01-31	Australia	20073
4	2022-02-01	Australia	20073
5	2022-02-02	Australia	24228
6	2022-02-03	Australia	32179
7	2022-02-04	Australia	27336
8	2022-02-05	Australia	22985
9	2022-02-06	Australia	25247
10	2022-02-07	Australia	27373
11	2022-02-08	Australia	31510
12	2022-02-09	Australia	11483
13	2022-02-10	Australia	31250
14	2022-02-11	Australia	22564
15	2022-02-12	Australia	25607
16	2022-02-13	Australia	12289
17	2022-02-14	Australia	30913
18	2022-02-15	Australia	24394
19	2022-02-16	Australia	11364
20	2022-02-17	Australia	11364
21	2022-02-18	Australia	23217
22	2022-02-19	Australia	17376
23	2022-02-20	Australia	18219
24	2022-02-21	Australia	25163
25	2022-02-22	Australia	25229
26	2022-02-23	Australia	24852
27	2022-02-24	Australia	26670
28	2022-02-25	Australia	19803
29	2022-02-26	Australia	17543
30	2022-02-27	Australia	21482
31	2022-02-28	Australia	25418
32	2022-03-01	Australia	21755
33	2022-03-02	Australia	40012
34	2022-03-03	Australia	25159
35	2022-03-04	Australia	22716
36	2022-03-05	Australia	17376
37	2022-03-06	Australia	22182
38	2022-03-07	Australia	44962
39	2022-03-08	Australia	30691
40	2022-03-09	Australia	36335
41	2022-03-10	Australia	31689
42	2022-03-11	Australia	35077
43	2022-03-12	Australia	33495
44	2022-03-13	Australia	26440
45	2022-03-14	Australia	28803
46	2022-03-15	Australia	54309
47	2022-03-16	Australia	57148
48	2022-03-17	Australia	49166
49	2022-03-18	Australia	46952
50	2022-03-19	Australia	40854
51	2022-03-20	Australia	43230
52	2022-03-21	Australia	53063
53	2022-03-22	Australia	57556
54	2022-03-23	Australia	59704
55	2022-03-24	Australia	66782
56	2022-03-25	Australia	47988
57	2022-03-26	Australia	46749
58	2022-03-27	Australia	50971
59	2022-03-28	Australia	55738
60	2022-03-29	Australia	65523
61	2022-03-30	Australia	60239
62	2022-03-31	Australia	65385
63	2022-04-01	Australia	55097
64	2022-04-02	Australia	48097
65	2022-04-03	Australia	40610
66	2022-04-04	Australia	55544
67	2022-04-05	Australia	75797
