location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Trinidad and Tobago	Delta	0.7119513	1.2575226	0.3815937	1.0472401	0.48235318	0.86432713	0.57084084
Trinidad and Tobago	Omicron 21K	0.6177074	0.91582924	0.4055736	0.80677557	0.4839405	0.7196972	0.54625356
Trinidad and Tobago	Omicron 22A	1.5932434	1.7518796	1.4364927	1.6873201	1.483421	1.6404662	1.5327218
Trinidad and Tobago	Omicron 22B	1.7488976	1.9035746	1.6143303	1.836058	1.6682901	1.7999332	1.7083367
Trinidad and Tobago	Omicron 22C	1.2720866	1.3573978	1.1952732	1.3251507	1.2235867	1.3001409	1.2481282
Trinidad and Tobago	other	0.9660932	1.1399233	0.8221095	1.0746204	0.86520314	1.0202568	0.9085939
