location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Australia	Omicron 21K	1.1205753	1.30204	0.94010615	1.2275381	0.9923888	1.1765842	1.0537629
Australia	Omicron 22A	1.007366	1.0296874	0.98529273	1.0221564	0.99264544	1.0151094	1.0000951
Australia	Omicron 22B	1.0453414	1.0643717	1.0252899	1.0576481	1.0330733	1.05167	1.0393205
Australia	Omicron 22C	0.8444528	0.91754913	0.78369457	0.89148283	0.80184776	0.8681551	0.82347035
Australia	Omicron 22D	1.1664982	1.1934525	1.140051	1.184603	1.1498226	1.1763692	1.1571841
Australia	Omicron 22E	1.5052053	1.588279	1.4203575	1.5590671	1.4497648	1.532357	1.4745209
Australia	other	1.6871073	1.8491056	1.54424	1.8027482	1.5877589	1.7349092	1.6350167
