location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Vietnam	Delta	0.6316832	0.665486	0.59914356	0.653713	0.6104526	0.6425861	0.62052995
Vietnam	Omicron 21K	0.69863045	0.73420405	0.6617075	0.7221488	0.6746209	0.7103187	0.68516695
Vietnam	other	0.64177024	1.0479383	0.38619357	0.8729147	0.45243493	0.74325585	0.53606784
