location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
United Kingdom	Delta	0.63941354	0.6775681	0.60808027	0.66375333	0.61626387	0.65322745	0.6279025
United Kingdom	Omicron 21K	0.66697586	0.66820014	0.66576165	0.6677971	0.66616446	0.66741204	0.6665322
United Kingdom	Omicron 22A	1.8165071	1.9454451	1.6903365	1.9022478	1.7383542	1.8604443	1.7665286
United Kingdom	Omicron 22B	2.0391908	2.2150242	1.8753316	2.14512	1.9329844	2.088958	1.9788802
United Kingdom	Omicron 22C	1.9544044	2.0305297	1.8751495	2.0064044	1.9053948	1.9806806	1.9316812
United Kingdom	other	0.9901544	0.99440503	0.9858822	0.99295706	0.98729223	0.9915732	0.9887074
