	country	mean_seq_per_week	sem_seq_per_week
168	Timor-Leste	1.0	
68	Guinea-Bissau	1.0	
53	Equatorial Guinea	1.0	0.0
11	Azerbaijan	1.3333333333333333	0.210818510677892
48	Dominica	1.5714285714285714	0.2973808570665904
156	Somalia	2.0	
59	Gabon	2.0	
128	Palau	2.1333333333333333	0.298399305618947
95	Libya	2.6666666666666665	0.8008833506910613
176	Union of the Comoros	2.6666666666666665	0.881917103688197
21	Bhutan	2.875	0.7576003783877971
35	Chad	3.0	
29	Burkina Faso	3.4375	1.4375
179	Uruguay	3.6666666666666665	0.38515601210977174
105	Marshall Islands	3.7142857142857144	1.2670604472047686
109	Micronesia	3.7857142857142856	0.9899415646455467
144	Saint Lucia	3.8857142857142857	0.48293818622747847
94	Lesotho	3.9130434782608696	1.0723124203288636
129	Palestine	4.0	0.0
111	Monaco	4.0	1.4719601443879746
145	Saint Martin	4.064516129032258	0.6272237581065182
22	Bolivia	4.260869565217392	1.0199926204963385
0	Afghanistan	4.333333333333333	0.33333333333333337
116	Myanmar	4.875	1.2455277137479863
5	Antigua and Barbuda	4.875	1.1827756902022182
126	Oman	4.925925925925926	0.8801805142586949
44	Côte d'Ivoire	5.037037037037037	1.30905403034527
15	Barbados	5.074074074074074	0.9212989806543664
100	Malawi	5.130434782608695	1.3459121946383552
139	Republic of the Congo	5.217391304347826	0.7621389749584477
71	Honduras	5.25	4.25
185	Zimbabwe	5.266666666666667	1.601982898269893
20	Bermuda	5.481481481481482	1.5091084992781822
12	Bahamas	5.5625	0.9263222531423213
45	Democratic Republic of the Congo	5.59375	0.8888414158329933
24	Bosnia and Herzegovina	5.617647058823529	1.8815241602396953
146	Saint Vincent and the Grenadines	5.833333333333333	2.946063972369393
3	Andorra	6.1568627450980395	0.5969678606776461
181	Vanuatu	6.25	1.4620191517213446
4	Angola	6.428571428571429	1.6297855508977948
137	Puerto Rico	6.6	3.668787265568828
84	Jordan	6.896551724137931	1.3594631180816033
106	Mauritania	7.0	
171	Tunisia	7.2368421052631575	1.4869915835182859
184	Zambia	7.454545454545454	1.9814914937856545
99	Madagascar	7.571428571428571	2.3589459193334923
165	Syria	7.7272727272727275	1.7740088607491586
162	Suriname	7.888888888888889	1.4116436646247137
143	Saint Kitts and Nevis	8.0	4.041451884327381
124	North Macedonia	8.25	1.935210500834388
117	Namibia	8.333333333333334	2.6398221471646472
73	Hungary	8.522727272727273	1.0128605569297142
19	Benin	8.578947368421053	3.862638395842806
122	Niger	8.642857142857142	3.0555428698022506
7	Armenia	8.666666666666666	4.630814663149935
115	Mozambique	8.714285714285714	1.5391710817994273
103	Mali	9.0	2.779388421937459
121	Nicaragua	9.027777777777779	2.2337547971581753
169	Togo	9.243243243243244	1.8044012780089103
67	Guinea	9.566666666666666	4.0345300779882125
2	Algeria	9.693877551020408	1.8434024852095503
87	Kiribati	9.714285714285714	5.383561233436481
113	Montenegro	10.225	1.624131918034827
65	Guadeloupe	10.387755102040817	1.1794067481840542
180	Uzbekistan	10.5	4.252450274057691
70	Haiti	10.527777777777779	1.943440784055112
55	Eswatini	10.536585365853659	2.038680096968412
30	Cabo Verde	10.636363636363637	1.9391076250953332
155	Solomon Islands	11.193548387096774	2.4245249417569465
147	Saudi Arabia	12.428571428571429	2.422085175760641
18	Belize	12.710526315789474	1.4425498478863892
174	Uganda	12.825	2.1993260914221553
150	Seychelles	13.162162162162161	2.9330654857015523
52	El Salvador	13.464285714285714	3.5843878636058526
182	Venezuela	13.470588235294118	1.9628616446955296
152	Sint Maarten	13.630434782608695	1.8601747088620526
142	Rwanda	13.75	5.153882032022076
91	Laos	13.872340425531915	3.027719154070692
110	Moldova	14.046511627906977	2.5493910610674035
93	Lebanon	14.057142857142857	4.066452805009072
112	Mongolia	14.914893617021276	1.602735227730162
47	Djibouti	15.192307692307692	4.02569410384737
78	Iraq	15.363636363636363	5.364039899707246
60	Gambia	15.8125	3.333190101089345
69	Guyana	16.6	9.293008124391154
16	Belarus	17.0	3.124404705204619
32	Cameroon	17.548387096774192	7.9240804506613625
56	Ethiopia	17.666666666666668	6.359594676112971
23	Bonaire	20.770833333333332	2.2031649508893842
90	Kyrgyzstan	21.0	18.0
88	Kosovo	21.15625	3.455975824743234
41	Curacao	21.92156862745098	2.2290142263737107
114	Morocco	22.137254901960784	4.434624869325665
8	Aruba	22.333333333333332	1.8976273748081405
89	Kuwait	23.785714285714285	3.366249047985193
118	Nepal	23.822222222222223	6.194840545382588
175	Ukraine	23.84313725490196	4.5979852833494075
161	Sudan	24.0	13.863621460498697
102	Maldives	24.153846153846153	5.387361936890194
96	Liechtenstein	24.79245283018868	3.287765782306842
131	Papua New Guinea	26.82857142857143	7.771904335412237
160	Sri Lanka	27.307692307692307	6.038803208570432
123	Nigeria	28.408163265306122	5.269192193001848
42	Cyprus	28.6875	5.34689843897064
49	Dominican Republic	28.770833333333332	3.892304599027107
51	Egypt	29.953488372093023	5.982620962942336
85	Kazakhstan	30.352941176470587	5.999388315959432
77	Iran	33.130434782608695	6.8030689789264285
149	Serbia	33.23913043478261	4.207215424209804
61	Georgia	34.056603773584904	4.427239136013019
31	Cambodia	34.58490566037736	4.028691904723111
82	Jamaica	37.94117647058823	7.122701171066938
63	Ghana	38.85	8.97857492547162
148	Senegal	39.26315789473684	12.520463148562767
132	Paraguay	39.32432432432432	4.671499115387495
138	Qatar	39.67567567567568	5.789741115392324
177	United Arab Emirates	41.857142857142854	17.523356619406123
170	Trinidad and Tobago	43.20754716981132	3.831763065932463
25	Botswana	45.38	9.661237086461357
14	Bangladesh	45.56521739130435	10.414763405204623
34	Central African Republic	46.0	
166	Taiwan	46.9375	13.632148272876437
104	Malta	47.0	43.99999999999999
127	Pakistan	49.528301886792455	5.520025804875483
66	Guatemala	50.44230769230769	8.033133378168621
130	Panama	52.37735849056604	4.435330054911878
86	Kenya	52.8235294117647	12.56258702851066
1	Albania	55.214285714285715	11.597261220559636
27	Brunei	87.2156862745098	7.192442314774922
50	Ecuador	95.35849056603773	11.379458944862463
6	Argentina	95.49056603773585	12.396498131436998
107	Mauritius	106.26415094339623	6.54576115311139
183	Vietnam	107.50943396226415	9.368857354491887
39	Costa Rica	125.11320754716981	5.382917962321599
13	Bahrain	143.78048780487805	33.13162059369844
54	Estonia	144.9047619047619	7.755842241679982
74	Iceland	163.46153846153845	36.11476769344847
28	Bulgaria	168.93023255813952	34.81478274870093
140	Romania	182.8679245283019	22.14156586265747
37	China	199.50943396226415	40.55891826680686
72	Hong Kong	206.16981132075472	16.81772286913255
38	Colombia	229.67924528301887	34.75358804694972
134	Philippines	239.66037735849056	43.22645959862112
92	Latvia	274.7647058823529	29.624255936519106
64	Greece	274.86538461538464	25.19871296071361
157	South Africa	292.33962264150944	31.685683555472227
151	Singapore	327.07547169811323	10.492683505797405
57	Finland	349.39622641509436	25.069921662222193
136	Portugal	367.58490566037733	23.6998409902357
36	Chile	377.47169811320754	16.711037776878204
97	Lithuania	386.84615384615387	52.950301584314175
167	Thailand	387.9433962264151	32.00150140588744
172	Turkey	406.94117647058823	57.79481903481
40	Croatia	428.07547169811323	48.258186616498286
120	New Zealand	474.9056603773585	28.36197274401888
153	Slovakia	499.2641509433962	61.171907658714055
101	Malaysia	506.2830188679245	48.78679347160751
125	Norway	574.2075471698113	66.3774740066869
133	Peru	575.0943396226415	56.41001841142894
98	Luxembourg	579.4716981132076	23.245574883188333
154	Slovenia	589.0566037735849	62.627619575874434
43	Czech Republic	604.5849056603773	49.20595496814132
76	Indonesia	646.4716981132076	64.68333943463529
108	Mexico	676.433962264151	72.96928847499572
141	Russia	780.3584905660377	86.69158207276178
135	Poland	824.8867924528302	208.13869939550005
10	Austria	858.566037735849	35.3439096831934
79	Ireland	911.5471698113207	98.33845160408033
164	Switzerland	925.6792452830189	108.71053418173895
158	South Korea	1104.9056603773586	56.4164696134994
119	Netherlands	1212.0943396226414	53.76287953937159
81	Italy	1313.754716981132	93.33903161424658
