date	location	cases
2022-05-14	Brazil	21344.0
2022-05-15	Brazil	25609.0
2022-05-16	Brazil	17355.0
2022-05-17	Brazil	6296.0
2022-05-18	Brazil	13510.0
2022-05-19	Brazil	26386.0
2022-05-20	Brazil	13525.0
2022-05-21	Brazil	10415.0
2022-05-22	Brazil	10187.0
2022-05-23	Brazil	16194.0
2022-05-24	Brazil	12613.0
2022-05-25	Brazil	12775.0
2022-05-26	Brazil	32820.0
2022-05-27	Brazil	9787.0
2022-05-28	Brazil	33910.0
2022-05-29	Brazil	40633.0
2022-05-30	Brazil	24239.0
2022-05-31	Brazil	8195.0
2022-06-01	Brazil	24082.0
2022-06-02	Brazil	41377.0
2022-06-03	Brazil	40979.0
2022-06-04	Brazil	41273.0
2022-06-05	Brazil	36189.0
2022-06-06	Brazil	15590.0
2022-06-07	Brazil	6266.0
2022-06-08	Brazil	35783.0
2022-06-09	Brazil	71045.0
2022-06-10	Brazil	49614.0
2022-06-11	Brazil	45073.0
2022-06-12	Brazil	56491.0
2022-06-13	Brazil	27796.0
2022-06-14	Brazil	11728.0
2022-06-15	Brazil	40173.0
2022-03-04	Japan	64333.0
2022-03-05	Japan	63520.0
2022-03-06	Japan	55417.0
2022-03-07	Japan	40575.0
2022-03-08	Japan	49416.0
2022-03-09	Japan	62747.0
2022-03-10	Japan	62825.0
2022-03-11	Japan	55970.0
2022-03-12	Japan	55328.0
2022-03-13	Japan	52002.0
2022-03-14	Japan	35846.0
2022-03-15	Japan	45649.0
2022-03-16	Japan	57922.0
2022-03-17	Japan	55147.0
2022-03-18	Japan	49246.0
2022-03-19	Japan	45733.0
2022-03-20	Japan	42151.0
2022-03-21	Japan	27701.0
2022-03-22	Japan	21420.0
2022-03-23	Japan	36605.0
2022-03-24	Japan	49063.0
2022-03-25	Japan	48228.0
2022-03-26	Japan	47047.0
2022-03-27	Japan	43565.0
2022-03-28	Japan	32916.0
2022-03-29	Japan	41473.0
2022-03-30	Japan	52765.0
2022-03-31	Japan	48047.0
2022-04-01	Japan	53544.0
2022-04-02	Japan	47377.0
2022-04-03	Japan	48245.0
2022-04-04	Japan	33834.0
2022-04-05	Japan	42315.0
2022-04-06	Japan	54142.0
2022-04-07	Japan	55044.0
2022-04-08	Japan	52104.0
2022-04-09	Japan	52162.0
2022-04-10	Japan	47876.0
2022-04-11	Japan	33136.0
2022-04-12	Japan	51331.0
2022-04-13	Japan	56704.0
2022-04-14	Japan	0.0
2022-04-15	Japan	106609.0
2022-04-16	Japan	47009.0
2022-04-17	Japan	39899.0
2022-04-18	Japan	28282.0
2022-04-19	Japan	37631.0
2022-04-20	Japan	47460.0
2022-04-21	Japan	47409.0
2022-04-22	Japan	42808.0
2022-04-23	Japan	43721.0
2022-04-24	Japan	38450.0
2022-04-25	Japan	28495.0
2022-04-26	Japan	37258.0
2022-04-27	Japan	45771.0
2022-04-28	Japan	42313.0
2022-04-29	Japan	37477.0
2022-04-30	Japan	25182.0
2022-05-01	Japan	25425.0
2022-05-02	Japan	23197.0
2022-05-03	Japan	27062.0
2022-05-04	Japan	26720.0
2022-05-05	Japan	21368.0
2022-05-06	Japan	23615.0
2022-05-07	Japan	34696.0
2022-05-08	Japan	40942.0
2022-05-09	Japan	33664.0
2022-05-10	Japan	39041.0
2022-05-11	Japan	45740.0
2022-05-12	Japan	42378.0
2022-05-13	Japan	38439.0
2022-05-14	Japan	39416.0
2022-05-15	Japan	34845.0
2022-05-16	Japan	26334.0
2022-05-17	Japan	33734.0
2022-05-18	Japan	41527.0
2022-05-19	Japan	38812.0
2022-05-20	Japan	39001.0
2022-05-21	Japan	34957.0
2022-05-22	Japan	31262.0
2022-05-23	Japan	22916.0
2022-05-24	Japan	29522.0
2022-05-25	Japan	34869.0
2022-05-26	Japan	31542.0
2022-05-27	Japan	28335.0
2022-05-28	Japan	24919.0
2022-05-29	Japan	20828.0
2022-05-30	Japan	18686.0
