location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
Panama	Delta	0.45954338	1.422994	0.14137712	1.0088437	0.21381137	0.70097125	0.32424855
Panama	Omicron 21K	1.2349502	3.5863397	0.40829176	2.4757576	0.6002908	1.735637	0.8590322
Panama	Omicron 22A	0.2967913	0.9246608	0.090875626	0.61786	0.13283119	0.43614137	0.19084865
Panama	Omicron 22B	0.27836746	0.8974014	0.07918203	0.62375975	0.13109082	0.3983974	0.18176062
Panama	Omicron 22C	0.5008838	1.5241094	0.17193227	1.0817604	0.24600017	0.73340666	0.34623507
Panama	other	0.74166065	1.6833125	0.34952584	1.2836548	0.46423134	0.98173416	0.5672667
